"Date","Place","Disc.","Winner","Second","Third"
"22 October 2005","Sölden, Austria","GS","Tina Maze","Janica Kostelić","Anja Pärson"
"2 December 2005","Lake Louise, Canada","DH","Elena Fanchini","Michaela Dorfmeister","Alexandra Meissnitzer"
"3 December 2005","Lake Louise, Canada","DH","Lindsey Kildow","Sylviane Berthod","Michaela Dorfmeister"
"4 December 2005","Lake Louise, Canada","SG","Alexandra Meissnitzer","Andrea Fischbacher","Michaela Dorfmeister"
"9 December 2005","Aspen, USA","SG","Nadia Styger","Michaela Dorfmeister","Andrea Fischbacher"
"10 December 2005","Aspen, USA","GS","María J. Rienda","Anja Pärson","Kathrin Zettel"
"11 December 2005","Aspen, USA","SL","Anja Pärson","Janica Kostelić","Kathrin Zettel"
"17 December 2005","Val-d'Isère, France","DH","Lindsey Kildow","Caroline Lalive","Alexandra Meissnitzer"
"18 December 2005","Val-d'Isère, France","SG","Michaela Dorfmeister","Alexandra Meissnitzer","Emily Brydon"
"21 December 2005","Spindleruv Mlyn, Czech Rep.","GS","Janica Kostelić","Kathrin Zettel","Marlies Schild"
"22 December 2005","Spindleruv Mlyn, Czech Rep.","SL","Anja Pärson","Janica Kostelić","Marlies Schild"
"28 December 2005","Lienz, Austria","GS","Anja Pärson","Nicole Hosp","Tina Maze"
"28 December 2005","Lienz, Austria","SL","Marlies Schild","Nicole Hosp","Janica Kostelić"
"5 January 2006","Zagreb, Croatia","SL","Marlies Schild","Kathrin Zettel","Janica Kostelić"
"7 January 2006","Maribor, Slovenia","GS","cancelled","",""
"8 January 2006","Maribor, Slovenia","SL","Marlies Schild","Janica Kostelić","Therese Borssén"
"13 January 2006","Bad Kleinkirchheim, Austria","DH","Anja Pärson","Michaela Dorfmeister","Fränzi Aufdenblatten"
"14 January 2006","Bad Kleinkirchheim, Austria","DH","Janica Kostelić","Nike Bent","Michaela Dorfmeister"
"15 January 2006","Bad Kleinkirchheim, Austria","SG","Janica Kostelić","Michaela Dorfmeister
 Alexandra Meissnitzer",""
"20 January 2006","St. Moritz, Switzerland","SG","Michaela Dorfmeister","Tina Maze","Nicole Hosp"
"20 January 2006","St. Moritz, Switzerland","DH","Michaela Dorfmeister","Renate Götschl","Janica Kostelić"
"22 January 2006","St. Moritz, Switzerland","SC","Janica Kostelić","Anja Pärson","Lindsey Kildow"
"27 January 2006","Cortina d'Ampezzo, Italy","SG","Anja Pärson","Julia Mancuso","Lindsey Kildow"
"28 January 2006","Cortina d'Ampezzo, Italy","DH","Renate Götschl","Julia Mancuso","Elisabeth Görgl"
"29 January 2006","Cortina d'Ampezzo, Italy","GS","Nicole Hosp","Geneviève Simard","Elisabeth Görgl"
"3 February 2006","Ofterschwang, Germany","GS","María J. Rienda","Anja Pärson","Kathrin Zettel"
"4 February 2006","Ofterschwang, Germany","GS","María J. Rienda
 Anja Pärson","","Julia Mancuso"
"5 February 2006","Ofterschwang, Germany","SL","Janica Kostelić","Kathrin Zettel","Marlies Schild"
"15-24 Feb.","Torino, Italy","2006 Winter Olympics","2006 Winter Olympics","",""
"3 March 2006","Kvitfjell & Hafjell, Norway","SG","Michaela Dorfmeister
 Lindsey Kildow
 Nadia Styger","",""
"4 March 2006","Kvitfjell & Hafjell, Norway","SC","Janica Kostelić","Anja Pärson","Marlies Schild"
"5 March 2006","Kvitfjell & Hafjell, Norway","GS","María J. Rienda","Nicole Hosp","Tanja Poutiainen"
"10 March 2006","Levi, Finland","SL","Janica Kostelić","Anja Pärson","Kathrin Zettel"
"11 March 2006","Levi, Finland","SL","Anja Pärson","Janica Kostelić","Nicole Hosp"
"15 March 2006","Åre, Sweden","DH","Anja Pärson","Lindsey Kildow","Elisabeth Görgl"
"16 March 2006","Åre, Sweden","SG","Nicole Hosp","Michaela Dorfmeister","Martina Ertl-Renz"
"17 March 2006,","Åre, Sweden","SL","Janica Kostelić","Marlies Schild","Anja Pärson"
"18 March 2006","Åre, Sweden","GS","Janica Kostelić","Geneviève Simard","Nicole Hosp
 Tanja Poutiainen"
