Opponent	Goals	Wins	Draws	Losses	+- Goals	Matches	Qualified	Eliminated
Partizani Tiranë	28-25	13	7	8	+ 3	28	9	7
Dinamo Tiranë	30-42	8	6	15	-12	29	8	8
KS Vllaznia	25-18	13	4	8	+ 7	25	9	6
KS Flamurtari	28-13	12	2	3	+15	17	8	3
KS Teuta	29-17	8	9	4	+12	21	6	7
KS Elbasani	40-17	11	4	4	+23	19	8	2
KS Besa	27-26	11	6	7	+ 1	24	9	4
KS Skenderbeu Korce	18- 5	9	1	1	+13	11	7	1
KS Tomori	21- 7	7	3	1	+14	11	7	-
KS Lushnja	41-15	13	4	5	+26	22	8	3
Luftëtari Gjirokastër	19- 3	5	0	0	+16	5	3	-
KS Apolonia	26- 8	8	3	0	+18	11	4	1
Besëlidhja Lezhë	14- 2	5	0	1	+12	6	3	-
KS Kastrioti	30- 4	10	1	0	+26	11	5	-
KF Naftëtari Kuçovë	5- 0	2	0	0	+ 5	2	1	-
KF Laçi	13- 4	5	2	1	+ 9	8	2	1
KS Shkumbini	19- 8	6	0	0	+11	6	2	-
KS Bylis	11- 4	2	3	1	+ 7	6	2	-
KS Sopoti Librazhd	17- 7	2	3	1	+10	6	3	-
KS Albpetrol	19- 3	5	0	1	+16	6	3	-
KS Burreli	1- 2	1	0	1	- 1	2	0	1
KS Pogradeci	8- 3	2	1	0	+ 5	3	2	-
KS Kamza	9- 2	4	0	0	+ 7	4	1	-
KF Erzeni Shijak	13- 3	6	0	0	+10	6	3	-
KS Shkëndija	8- 5	2	2	0	+ 3	4	2	-
KS Turbina Cërrik	13- 3	3	1	0	+10	4	2	-
KF Memaliaj	9- 2	2	0	0	+ 7	2	1	-
KS Tërbuni Pukë	8- 3	3	1	0	+ 5	4	2	-
FK Kukesi	11- 8	2	1	1	+ 3	4	1	1
KS Iliria	7- 2	2	0	0	+ 5	2	1	-
KF Cakrani	3- 1	1	0	1	+ 2	2	1	-
KS Butrinti Sarandë	6- 4	1	1	0	+ 2	2	1	-
KS Ada Velipojë	5- 2	1	1	0	+ 3	2	1	-
KF Skrapari	5- 0	2	0	0	+ 5	2	1	-
Luzi 2008	4- 3	1	0	1	+ 1	2	1	-
Dinamo Shkodër	3- 0	1	0	0	+ 3	1	1	-
Garnizoni Durrës	4- 0	1	0	0	+ 4	1	1	-
Albanët	3- 0	1	0	0	+ 3	1	1	-
SK Himarë	10- 1	2	0	0	+ 9	2	1	-
40 opponents*	592-272	195	62	65	+320	322	173	44
