"Rank","Nation","Gold","Silver","Bronze","Total"
"1","Puerto Rico","17","27","13","57"
"2","Bahamas","17","15","19","51"
"3","México","9","9","5","23"
"4","Jamaica","8","6","4","18"
"5","Barbados","7","3","6","16"
"6","Trinidad and Tobago","7","2","2","11"
"7","Venezuela","3","3","8","14"
"8","Colombia","3","1","2","6"
"9","U.S. Virgin Islands","1","1","3","5"
"10","Martinique","1","1","0","2"
"11","Antigua and Barbuda","1","0","1","2"
"12","Suriname","1","0","0","1"
"13","Bermuda","0","4","2","6"
"14","Dominican Republic","0","2","4","6"
"15","Panamá","0","1","2","3"
"16","Cayman Islands","0","0","2","2"
"16","Saint Kitts and Nevis","0","0","2","2"
