| Year | Film                              | Language | Character                 | Co-Star                           | Music                                                               | Banner                       |
| 1939 | Vara Vikrayam                     | Telugu   | Kalindi                   | Chittor V. Nagaiah                | Prabhala Satyanarayana                                              | East India Film Company      |
| 1940 | Malathi Madhavam                  | Telugu   |                           |                                   |                                                                     | East India Film Company      |
| 1941 | Bhaktimala                        | Telugu   | Radha                     |                                   |                                                                     | Bhaskar Films                |
| 1941 | Dharmapatni                       | Tamil    |                           |                                   |                                                                     | Famous Films                 |
| 1941 | Dharmapatni                       | Telugu   |                           |                                   |                                                                     | Famous Films                 |
| 1943 | Garuda Garvabhangam               | Telugu   |                           |                                   |                                                                     | Pratiba                      |
| 1943 | Krishna Prema                     | Telugu   | Chandravali               |                                   | Galipenchala Narasimha Rao                                          | Famous Films & Star Combines |
| 1944 | Tahsildar                         | Telugu   | Kamala                    |                                   |                                                                     |                              |
| 1945 | Swargaseema                       | Telugu   | Subbi/Sujatha Devi        | Chittor V. Nagaiah                | Chittor V. Nagaiah                                                  | Vijaya Studios               |
| 1946 | Gruhapravesam                     | Telugu   | Janaki                    |                                   |                                                                     | Sarati Films                 |
| 1947 | Ratnamala                         | Telugu   | Ratnamala                 | C. S. R. Anjaneyulu               | C. R. Subburaman                                                    | Bharani Pictures             |
| 1948 | Raja Mukthi                       | Tamil    | Kannika                   | M. K. Thyagaraja Bhagavathar      | C. R. Subburaman                                                    | Narendra Pictures            |
| 1949 | Laila Majnu                       | Telugu   | Laila                     | A. Nageswara Rao                  | C. R. Subburaman                                                    | Bharani Pictures             |
| 1949 | Laila Majnu                       | Tamil    | Laila                     | A. Nageswara Rao                  | C. R. Subburaman                                                    | Bharani Pictures             |
| 1949 | Nallathambi                       | Tamil    | Pushpa                    | N. S. Krishnan                    | C. R. Subburaman                                                    | NSK Films & Uma Pictures     |
| 1949 | Raksharekha                       | Telugu   | Princess Kalavathi        | A. Nageswara Rao                  | Ogirala Ramachandra Rao & H. R. Padmanabha Sastri                   |                              |
| 1949 | Devamanohari                      | Tamil    | Devamanohari              | C. Honnappa Bhagavathar           | G. Ramanathan                                                       | Arkays Pictures              |
| 1949 | Apoorva Sagodharargal             | Tamil    | Kanchana                  | M. K. Radha                       | S. Rajeswara Rao                                                    | Gemini Studios               |
| 1949 | Apoorva Sahodaralu                | Telugu   | Ranjana                   | M. K. Radha                       | S. Rajeswara Rao                                                    | Gemini Studios               |
| 1949 | Nishaan                           | Hindi    | Kanchana                  | M. K. Radha                       | S. Rajeswara Rao                                                    | Gemini Studios               |
| 1949 | Rathnakumar                       | Tamil    |                           | P. U. Chinnappa Bhagavathar       | G. Ramanathan & C. R. Subburaman                                    | Murugan Talkies              |
| 1950 | Maya Rambha                       | Telugu   |                           |                                   |                                                                     |                              |
| 1951 | Malleeswari                       | Telugu   | Malleeswari               | N. T. Rama Rao                    | Adepalli Rama Rao & S. Rajeswara Rao                                | Vijaya Studios               |
| 1951 | Mangala                           | Telugu   | Mangala                   |                                   |                                                                     | Gemini Studios               |
| 1951 | Mangala                           | Hindi    | Mangala                   |                                   |                                                                     | Gemini Studios               |
| 1952 | Prema                             | Telugu   | Mothi                     | A. Nageswara Rao                  | C. R. Subburaman                                                    | Bharani Pictures             |
| 1952 | Kadhal                            | Tamil    | Mothi                     | A. Nageswara Rao                  | C. R. Subburaman                                                    | Bharani Pictures             |
| 1952 | Rani                              | Tamil    |                           | S. Balachander                    | C. R. Subburaman                                                    | Jupiter Pictures             |
| 1952 | Rani                              | Hindi    |                           | Anoop Kumar                       | C. R. Subburaman                                                    | Jupiter Pictures             |
| 1953 | Chandirani                        | Tamil    | Champa & Chandi           | N. T. Rama Rao                    | C. R. Subburaman, Assistants: M. S. Viswanathan & T. K. Ramamoorthy | Bharani Pictures             |
