"Year","English title","Japanese","Romanization","Type"
"1991","(Shissō Feraari 250 GTO / Rasuto ran: Ai to uragiri no hyaku-oku en)","疾走フェラーリ250GTO/ラスト・ラン～愛と裏切りの百億円","Shissō Feraari 250 GTO / Rasuto ran: Ai to uragiri no hyaku-oku en
Shissō Feraari 250 GTO / Rasuto ran: Ai to uragiri no ¥10 000 000 000","TV"
"1991","(Toppū! Minipato tai - Aikyacchi Jankushon)","突風！ ミニパト隊 アイキャッチ・ジャンクション","Toppū! Minipato tai - Aikyatchi Jankushon","Video"
"1991","(Redi hantā: Koroshi no pureryuudo)","レディハンター 殺しのプレュード","Redi hantā: Koroshi no pureryūdo","Video"
"1992","A Human Murder Weapon","人間兇器 愛と怒りのリング","Ningen kyōki: Ai to ikari no ringu","Video"
"1993","Bodyguard Kiba","ボディガード牙","Bodigādo Kiba","Video"
"1993","(Oretachi wa tenshi ja nai)","俺達は天使じゃない","Oretachi wa tenshi ja nai","Video"
"1993","(Oretachi wa tenshi ja nai 2)","俺達は天使じゃない２","Oretachi wa tenshi ja nai 2","Video"
"1994","Shinjuku Outlaw","新宿アウトロー","Shinjuku autorou","Video"
"1994","(Shura no mokushiroku: Bodigādo Kiba)","修羅の黙示録 ボディーガード牙","Shura no mokushiroku: Bodigādo Kiba","Video"
"1995","(Daisan no gokudō)","第三の極道","Daisan no gokudō","Video"
"1995","(Shura no mokushiroku 2: Bodigādo Kiba)","修羅の黙示録2 ボディーガード牙","Shura no mokushiroku 2: Bodigādo Kiba","Video"
"1995","Osaka Tough Guys","なにわ遊侠伝","Naniwa yūkyōden","Video"
"1995","Shinjuku Triad Society","新宿黒社会 チャイナ マフィア戦争","Shinjuku kuroshakai: Chaina mafia sensō","Film"
"1996","(Shin daisan no gokudō: boppatsu Kansai gokudō sensō)","新・第三の極道 勃発 関西極道ウォーズ！！","Shin daisan no gokudō: boppatsu Kansai gokudō sensō","Video"
"1996","(Shin daisan no gokudō II)","新・第三の極道II","Shin daisan no gokudō II","Video"
"1996","(Jingi naki yabō)","仁義なき野望","Jingi naki yabō","Video"
"1996","(Piinattsu: Rakkasei)","ピイナッツ 落華星","Piinattsu: Rakkasei","Video"
