"Place","Player","Country","Score","To par","Money ($)"
"T1","Larry Nelson","United States","70-72-73-72=287","–1","Playoff"
"T1","Lanny Wadkins","United States","70-70-74-73=287","–1","Playoff"
"T3","Scott Hoch","United States","74-74-71-69=288","E","58,750"
"T3","D. A. Weibring","United States","73-72-67-76=288","E","58,750"
"T5","Mark McCumber","United States","74-69-69-77=289","+1","37,500"
"T5","Don Pooley","United States","73-71-73-72=289","+1","37,500"
"T7","Ben Crenshaw","United States","72-70-74-74=290","+2","27,500"
"T7","Bobby Wadkins","United States","68-74-71-77=290","+2","27,500"
"9","Curtis Strange","United States","70-76-71-74=291","+3","22,500"
"T10","Seve Ballesteros","Spain","72-70-72-78=292","+4","17,000"
"T10","David Frost","South Africa","75-70-71-76=292","+4","17,000"
"T10","Tom Kite","United States","72-77-71-72=292","+4","17,000"
"T10","Nick Price","Zimbabwe","76-71-70-75=292","+4","17,000"
