Rank	Name	Nationality	Time	Notes
1	Dyana Calub	Australia	1:01.77	Q
2	Natalie Coughlin	United States	1:01.99	Q
3	Noriko Inada	Japan	1:02.00	Q
4	Haley Cope	United States	1:02.09	Q
5	Diana MacManus	United States	1:02.10	Q
6	Courtney Shealy	United States	1:02.28	Q
7	Aya Terakawa	Japan	1:02.39	Q
8	Giaan Rooney	Australia	1:02.53	Q
9	Erin Gammel	Canada	1:02.63	
10	Hannah McLean	New Zealand	1:02.82	
11	Melissa Morgan	Australia	1:02.86	
12	Reiko Nakamura	Japan	1:02.91	
13	Michelle Lischinsky	Canada	1:03.22	
14	Jennifer Fratesi	Canada	1:03.42	
15	Kelly Stefanyshyn	Canada	1:03.44	
16	Clementine Stoney	Australia	1:03.52	
