"Date","Location","Opponent","Result","Competition"
"January 19, 2013","Concepción, Chile","Chile","0–3","F"
"February 6, 2013","Santa Cruz de la Sierra, Bolivia","Bolivia","1–2","F"
"March 20, 2013","Muscat, Oman","Oman","0–3","F"
"March 24, 2013","Santo Domingo, Dominican Republic","Dominican Republic","1–3","F"
"June 8, 2013","Miami, United States","Spain","1–2","F"
"June 11, 2013","Rio de Janeiro, Brazil","Italy","2–2","F"
"July 8, 2013","Harrison, United States","Honduras","0–2","GC"
"July 12, 2013","Miami Gardens, United States","Trinidad and Tobago","2-0","GC"
"July 15, 2013","Houston, United States","El Salvador","0-1","GC"
"September 6, 2013","Incheon, South Korea","South Korea","1-4","F"
"March 5, 2014","Mitrovica, Kosovo","Kosovo","0–0","F"
