Area served	City of license	VC	RF	Callsign	Network	Notes
Cape Girardeau	~Harrisburg IL	3	34	WSIL-TV	ABC	
Cape Girardeau	~Paducah KY	6	32	WPSD-TV	NBC	
Cape Girardeau	~Carbondale IL	8	8	WSIU-TV	PBS	
Cape Girardeau	Cape Girardeau	12	12	KFVS-TV	CBS	
Cape Girardeau	Cape Girardeau	23	22	KBSI	Fox	
Cape Girardeau	~Marion IL	27	17	WTCT	Ind.	
Cape Girardeau	~Paducah KY	49	49	WDKA	MNT	
Columbia/Jefferson City	Sedalia	6	15	KMOS-TV	PBS	
Columbia/Jefferson City	Columbia	8	8	KOMU-TV	NBC	
Columbia/Jefferson City	Jefferson City	13	12	KRCG	CBS	
Columbia/Jefferson City	Columbia	17	17	KMIZ	ABC	
Columbia/Jefferson City	Jefferson City	25	20	KNLJ	Ind.	
Hannibal	Hannibal	7	7	KHQA-TV	CBS	ABC on 7.2
Hannibal	~Quincy IL	10	10	WGEM-TV	NBC	
Hannibal	~Quincy IL	16	32	WTJR	Ind.	
Hannibal	~Quincy IL	27	34	WQEC	PBS	satellite of WSEC ch. 14 Springfield IL
Joplin	~Pittsburg KS	7	7	KOAM-TV	CBS	
Joplin	Joplin	12	43	KODE-TV	ABC	
Joplin	~Pittsburg KS	14	13	KFJX	Fox	
Joplin	Joplin	16	46	KSNF	NBC	
Joplin	Joplin	26	25	KOZJ	PBS	satellite of KOZK ch. 21 Springfield
Kansas City	Kansas City	4	34	WDAF-TV	Fox	
Kansas City	Kansas City	5	24	KCTV	CBS	
Kansas City	Kansas City	9	29	KMBC-TV	ABC	
Kansas City	St. Joseph	16	21	KTAJ-TV	TBN	
Kansas City	Kansas City	19	18	KCPT	PBS	
Kansas City	Kansas City	29	31	KCWE	CW	
Kansas City	~Lawrence KS	38	41	KMCI	Ind.	
Kansas City	Kansas City	41	42	KSHB-TV	NBC	
Kansas City	Kansas City	50	51	KPXE-TV	ION	
Kansas City	Kansas City	62	47	KSMO-TV	MNT	
Kirksville	Kirksville	3	33	KTVO	ABC	
Kirksville	~Ottumwa IA	15	15	KYOU-TV	Fox	
Poplar Bluff	Poplar Bluff	15	15	KPOB-TV	ABC	satellite of WSIL-TV ch. 3 Harrisburg IL
St. Joseph	St. Joseph	2	7	KQTV	ABC	
St. Louis	St. Louis	2	43	KTVI	Fox	ABC (1955-1995), Fox O&O (c.1995-2008)
St. Louis	St. Louis	4	24	KMOV	CBS	CBS O&O (1958-1986 as KMOX-TV)
St. Louis	St. Louis	5	35	KSDK	NBC	
St. Louis	St. Louis	9	39	KETC	PBS	
St. Louis	St. Louis	11	26	KPLR-TV	CW	
St. Louis	St. Louis	24	14	KNLC	Ind.	
St. Louis	St. Louis	30	31	KDNL-TV	ABC	Independent (1969-1986); Fox (1986-1995)
St. Louis	~East St. Louis IL	46	47	WRBU	MNT	
Springfield	Springfield	3	44	KYTV	NBC	
Springfield	Springfield	10	10	KOLR	CBS	
Springfield	Springfield	21	23	KOZK	PBS	
Springfield	Springfield	27	28	KOZL-TV	Ind.	
Springfield	~Harrison AR	31	31	KWBM	Ind.	
Springfield	Springfield	33	19	KSPR	ABC	K15CZ (CW) on 33.2
Springfield	Osage Beach	49	49	KRBK	Fox	
Springfield	Springfield	8	8	KRFT-LD	MundoFox	TNN on 8.2, My Family TV on 8.3
