"Title","Release date","Developer(s)","Publisher(s)","Genre(s)"
"187 Ride or Die","2005-08-23","Ubisoft","Ubisoft","Driving"
"50 Cent: Bulletproof","2005-11-17","Genuine Games","Sierra Entertainment",""
"50 Cent: Blood on the Sand","2009-02-20","Swordfish Studios","THQ",""
"25 To Life","2006-01-17","Avalanche Software, Ritual Entertainment","Eidos Interactive",""
"Gangland (video game)","2004-02-14","MediaMobsters","Whiptail Interactive",""
"Gangsters: Organized Crime","1998-11-30","Hothouse Creations","Eidos Interactive",""
"Gangsters 2","2001-06-01","Hothouse Creations","Eidos Interactive",""
"The Godfather: The Game","2006-03-21","EA Redwood Shores","Electronic Arts",""
"The Godfather II","2009-04-07","EA Redwood Shores","Electronic Arts",""
"Grand Theft Auto III","2001-10-22","DMA Design","Rockstar Games",""
"Grand Theft Auto: Vice City","2002-10-22","Rockstar North","Rockstar Games",""
"Grand Theft Auto: San Andreas","2004-10-24","Rockstar North","Rockstar Games",""
"Mafia: The City of Lost Heaven","2002-08-28","Illusion Softworks","Gathering of Developers",""
"Mafia II","2010-08-24","2K Czech, Massive Bear Studios","2K Games, 1C Company",""
"Mob Rule","1999-9-30","Simon & Schuster Interactive","Studio 3 Interactive",""
"Saints Row","2006-08-29","Volition","THQ",""
"Saints Row 2","2008-10-14","Volition, Inc.","THQ",""
"Omerta - City of Gangsters","2013-01-31","Haemimont Games","Kalypso Media","Building Simulation, RPG"
