"Nation","1986","1989","1991","1997","1999","2000","2003","2005","2007","2009","2011","Years"
"Argentina","4th","-","4th","4th","3rd","4th","2nd","2nd","2nd","1st","2nd","10"
"Brazil","3rd","3rd","3rd","1st","1st","1st","1st","1st","1st","2nd","1st","11"
"Canada","2nd","1st","2nd","2nd","-","-","5th","4th","6th","-","-","7"
"Chile","-","-","-","-","-","-","-","-","-","3rd","5th","2"
"Colombia","-","-","-","-","6th","6th","-","-","-","-","-","2"
"Costa Rica","-","-","-","5th","-","-","-","-","-","-","-","1"
"Cuba","-","-","-","-","2nd","-","-","-","-","-","3rd","2"
"Dominican Republic","-","-","-","-","-","-","6th","5th","3rd","4th","6th","5"
"Greenland","-","-","-","-","5th","3rd","-","-","-","-","-","2"
"Guatemala","-","-","-","-","-","-","7th","-","-","-","-","1"
"Mexico","-","4th","-","6th","-","5th","-","-","8th","5th","7th","6"
"Paraguay","-","-","6th","-","-","-","-","-","4th","7th","-","3"
"Puerto Rico","-","-","7th","-","-","-","-","-","-","-","-","1"
"Uruguay","-","-","5th","3rd","4th","2nd","3rd","3rd","5th","6th","4th","9"
"United States","1st","2nd","1st","-","-","-","4th","6th","7th","-","-","6"
"Venezuela","-","-","-","-","-","-","-","-","-","-","8th","1"
