"Week","Date","Opponent","Score","Result","Record"
"1","Aug 28","at Toronto Argonauts","13–6","Loss","0–1"
"2","Sept 4","at Montreal Alouettes","21–2","Loss","0–2"
"2","Sept 6","vs. Montreal Alouettes","20–11","Loss","0–3"
"3","Sept 11","at Toronto Argonauts","12–5","Win","1–3"
"4","Sept 18","vs. Toronto Argonauts","34–6","Loss","1–4"
"5","Sept 25","vs. Hamilton Tiger-Cats","38–12","Loss","1–5"
"6","Oct 2","at Hamilton Tiger-Cats","45–0","Loss","1–6"
"7","Oct 9","vs. Montreal Alouettes","25–11","Loss","1–7"
"7","Oct 11","at Montreal Alouettes","24–6","Loss","1–8"
"8","Oct 16","vs. Toronto Argonauts","27–11","Loss","1–9"
"9","Oct 23","at Hamilton Tiger-Cats","25–17","Loss","1–10"
"10","Oct 30","vs. Hamilton Tiger-Cats","30–9","Loss","1–11"
"11","Nov 6","at Toronto Argonauts","18–12","Loss","1–12"
"12","Nov 13","vs. Montreal Alouettes","14–12","Win","2–12"
