Team	Manager	City	Stadium	Capacity
LD Alajuelense	Oscar "El Machillo" Ramírez	Alajuela	Alejandro Morera Soto	17,895
Belén Siglo XXI	Vinicio Alvarado	Belén	Estadio Polideportivo de Belén	3,000
CS Cartaginés	Jhonny Chávez	Cartago	Fello Meza	13,500
CS Herediano	Jafet Soto	Heredia	Rosabal Cordero	8,144
Limón F.C.	Hernán Fernando Sossa	Limón	Estadio Nuevo de Limón/Estadio Juan Gobán	3,000/2,000
Orión F.C.	Martín Arreola	Tarrazú	Estadio Municipal de Tarrazú	1,500
Municipal Pérez Zeledón	Mauricio Wright	San Isidro	Municipal	6,000
Puntarenas FC	Luis Fernando Fallas	Puntarenas	"Lito" Pérez	4,105
Asociación Deportiva San Carlos	Marvin Solano	Ciudad Quesada	Carlos Álvarez	5,600
Santos de Guápiles	Gustavo Martínez	Guápiles	Ebal Rodríguez	3,000
Deportivo Saprissa	Alexander Guimaraes	Tibás	Ricardo Saprissa	23,000
