"Town name","County","Established","Disestablished","Current Status","Remarks"
"White Cloud","Doniphan County","1856","","2008 estimated population of 227",""
"Ray","Pawnee County","","","Most of the houses were demolished or moved in the 1950s. The old Co-op remains and still bears the town name. Large berm south of the co-op is what is left from the demolition 38.174742,-98.962701",""
"Iowa Point","Doniphan County","1854","Post Office closed in 1933","Small population near K-7",""
"Eagle Springs","Doniphan County","1883","","Townsite was abandoned, only ruins remain","Was a health resort that lasted into the 1930s."
"Geary City","Doniphan County","March 23, 1856","","Only foundations remain",""
"Doniphan","Doniphan County","1854","1943","Still on maps but little remains","A trading post was established on the site in 1852"
"Four Houses","Wyandotte County","","","Exact location unknown","Was actually a trading post from 1826-1828"
"Rising Sun","Jefferson County","1857","mid-1860s","A Kansas River access point is near the location and named after the town.","Was a Lecompton satellite community."
"Hickory Point","Jefferson County","1855","","A Kansas State Historical Marker is near the location along U.S. 59.","Location of the Battle of Hickory Point, a skirmish between pro-slavery and free state forces."
"Arrington","Atchison County","1854","","A small population resides along K-116.",""
"Kennekuk","Atchison County","1858","","",""
"America City","Nemaha County","February 14, 1857","Post office closed in 1933","A couple buildings and a cemetery remain",""
"Juniata","Pottawatomie County","1854","1858","On private property and not accessible",""
"Pawnee","Riley County","1854","1855","The old territorial capitol building still stands is well-preserved","Was the territorial capitol until 1855 when it was moved to Shawnee Mission."
"Randolph","Riley County","1855","","2008 estimated population of 198","Moved two miles west when Tuttle Creek Lake was built."
"Irving","Marshall County","1859","1960","Located on Corps land and is easily accessible.","Abandoned for the construction of Tuttle Creek Lake."
"Alcove Springs","Marshall County","","","Now a well-preserved park","Was never an official town but was a stop on the Oregon Trail. Numerous carvings in the spring's rocks feature traveler's initials and other things. A member of the Donner Party is buried nearby."
"Trading Post","Linn County","1842 (established as a trading post)","","A small population remains just off of U.S. 69.","Near the site of the Marais des Cygnes massacre."
"Centropolis","Franklin County.","1854","1930","A small population remains on a county road about ten miles northwest of Ottawa Centropolis Christian Church and Centropolis Baptist Church are open.",""
"Minneola","Franklin County","1854","1860s","Nothing remains of the town.","Was the territorial capitol briefly in 1858. Not to be confused with Minneola in Clark County."
"Silkville","Franklin County","1870","1892","Several buildings remain including an old house and a stone school southwest of Williamsburg.",""
"Black Jack","Douglas County","1857 (incorporated)","1870s","Santa Fe Trail wagon swales, a roadside park, cemetery and the well-preserved battlefield site remain and are open to public.",""
"Franklin","Douglas County","1853 (early stage stop)","Post office closed 1867","Nothing remains of the town except two small neglected cemeteries and Franklin Road off of K-10.",""
"Big Springs","Douglas County","1854","","A small population remains along U.S. 40.",""
