Township	FIPS	Population\ncenter	Population	Population\ndensity\n/km² (/sq mi)	Land area\nkm² (sq mi)	Water area\nkm² (sq mi)	Water %	Geographic coordinates
Alexandria	01100		859	7 (18)	123 (48)	1 (0)	0.62%	39°16′8″N 95°7′33″W﻿ / ﻿39.26889°N 95.12583°W
Delaware	17450		1,361	22 (57)	62 (24)	3 (1)	4.19%	39°14′50″N 94°52′40″W﻿ / ﻿39.24722°N 94.87778°W
Easton	19625		1,245	11 (30)	109 (42)	0 (0)	0.11%	39°21′57″N 95°7′27″W﻿ / ﻿39.36583°N 95.12417°W
Fairmount	22325	Basehor	6,266	61 (159)	102 (39)	0 (0)	0.39%	39°8′4″N 94°56′26″W﻿ / ﻿39.13444°N 94.94056°W
High Prairie	32125		1,768	14 (37)	124 (48)	0 (0)	0.27%	39°15′30″N 95°0′34″W﻿ / ﻿39.25833°N 95.00944°W
Kickapoo	36700		1,760	15 (40)	114 (44)	3 (1)	2.39%	39°20′45″N 94°59′29″W﻿ / ﻿39.34583°N 94.99139°W
Reno	58950		1,143	10 (27)	111 (43)	2 (1)	1.56%	39°1′8″N 95°8′8″W﻿ / ﻿39.01889°N 95.13556°W
Sherman	65000		2,367	22 (57)	108 (42)	3 (1)	2.44%	39°0′59″N 95°0′27″W﻿ / ﻿39.01639°N 95.00750°W
Stranger	68500		2,451	19 (50)	127 (49)	0 (0)	0.17%	39°8′16″N 95°2′2″W﻿ / ﻿39.13778°N 95.03389°W
Tonganoxie	70825	Tonganoxie (part)	4,852	35 (91)	137 (53)	1 (0)	0.66%	39°7′0″N 95°6′35″W﻿ / ﻿39.11667°N 95.10972°W
