"Pos","No","Driver","Team","Laps","Time/Retired","Grid","Points"
"1","1","Alex Zanardi","Chip Ganassi Racing","95","1:52:24.080","2","20"
"2","6","Michael Andretti","Newman-Haas Racing","95","+1.921","3","16"
"3","12","Jimmy Vasser","Chip Ganassi Racing","95","+6.702","6","14"
"4","7","Bobby Rahal","Team Rahal","95","+8.078","9","12"
"5","8","Bryan Herta","Team Rahal","95","+12.984","17","10"
"6","20","Scott Pruett","Patrick Racing","95","+14.607","8","8"
"7","10","Richie Hearn","Della Penna Motorsports","95","+15.305","13","6"
"8","25","Max Papis","Arciero-Wells Racing","95","+24.676","20","5"
"9","40","Adrián Fernández","Patrick Racing","95","+31.923","16","4"
"10","16","Hélio Castro-Neves","Bettenhausen Racing","95","+32.691","21","3"
"11","99","Greg Moore","Forsythe Racing","95","+34.926","12","2"
"12","17","Maurício Gugelmin","PacWest Racing Group","95","+37.640","19","1"
"13","24","Robby Gordon","Arciero-Wells Racing","94","+1 Lap","22",""
"14","26","Paul Tracy","Team KOOL Green","94","+1 Lap","10",""
"15","77","Arnd Meier","Davis Racing","94","+1 Lap","25",""
"16","11","Christian Fittipaldi","Newman-Haas Racing","93","+2 Laps","5",""
"17","2","Al Unser, Jr.","Marlboro Team Penske","93","+2 Laps","14",""
"18","19","Michel Jourdain Jr.","Payton/Coyne Racing","93","+2 Laps","24",""
"19","98","P. J. Jones","All American Racing","84","Suspension","23",""
"20","27","Dario Franchitti","Team KOOL Green","79","Brakes","1","1+1"
"21","34","Gualter Salles","Payton/Coyne Racing","65","Contact","28",""
"22","21","Tony Kanaan","Tasman Motorsports Group","61","Fire","7",""
"23","3","André Ribeiro","Marlboro Team Penske","54","Transmission","11",""
"24","9","JJ Lehto","Hogan Racing","37","Contact","26",""
"25","33","Patrick Carpentier","Forsythe Racing","33","Suspension","18",""
"26","18","Mark Blundell","PacWest Racing Group","30","Electrical","15",""
"27","5","Gil de Ferran","Walker Racing","26","Contact","4",""
"28","36","Alex Barron","All American Racing","25","Contact","27",""
