	Poetry Prize	Poetry Accessit(s)	Honourable Mention(s)	Prose Prize	Prose Accessit(s)	Honourable Mention(s)
1st Edition (1996)	Agustín Hermida Castro			Beatriz Piñeiro Calvo	Sechu Sende	
2nd Edition (1997)	Modesto Fraga Moure	Roberto X. Traba Velay		Marco V. Lama del Corral	Rosa Aneiros Díaz; Pedro Rielo Lamela	
3rd Edition (1998)	Antonio Esteban González Alonso	José Ricardo Vélez Vázquez		Xabier Castro García		
4th Edition (1999)	Roberto X. Traba Velay			Beatriz Piñeiro Calvo		
5th Edition (2000)	Baldomero Iglesias Dobarrio	Unai González Suárez		Jaime Naveria Pedreira		
6th Edition (2001)	Manuel Terrín Benavides	Baldomero Iglesias Dobarrio		Franciso Calo Lourido	Pedro Uris Escolano	
7th Edition (2002)	Simón Iglesias Posse	Salvador Moreno Pérez ; Estíbaliz Espinosa Río		Xosé Nicanor Alonso Alvarez	Xaime Naveira Pedreira	
8th Edition (2003)	Salvador Moreno Pérez ; Alexandre Nerium (shared prize)	Francisco Piñeiro González		Xaime Domínguez Toxo	Xoán Xosé García López	
9th Edition (2004)	María Goretti Fariña Caamaño	Manuel Luque Tapia ; María Rey Torrente		Francisco Piñeiro González	Vicente Javier García Gómez ; Andrés Albuerne de Frutos	
10th Edition (2005)	María Teresa Núñez González	Amadeo Cobas ; Unai González Suárez		Francisco Piñeiro González	Julio Romero Suárez María ; Teresa López de la Fuente ; Domingo A. Martínez Martín	
11th Edition (2006)	Restituto Núñez Cobos	Juan Lorenzo Collado Gómez ; Alba Cid Fernández ; Isabel Oliver González		Francisco Rozados Rivas	Juan Lorenzo Collado Gómez ; Francisco Piñeiro González	
12th Edition (2007)	Carmen Caramés Gorgal	Alfredo Macías Macías ; Manuel Luque Tapia		Rafael Laso Lorenzo	Francisco Piñeiro González ; Iván García Campos	
13th Edition (2008)	Feliciano Ramos Navarro	José M. López Calo ; Cristalina López Rodríguez		Moisés Alvarez Jorge	Carmen Cuevas Crespo ; Julio Romero Suárez	
14th Edition (2009)	Alba Cid Fernández	Sara Castelar Lorca ; Mª Isabel Gómez Arto		Alberto Rodríguez Díaz	Juan José Ruíz Moñino ; Isabel Julián Quiroga	
15th Edition (2010)	Emma Pedreira	Manuel García Díaz Pintado ; Rosa Piñeiro Fariña		Pepe Pol	Noa María Carballa Rivas ; Mercedes Blanco Iglesias	
16th Edition (2011)	Beatriz Lorenzo	José María Calo ; Pablo Núñez González ; Marcial González Vigo		Xosé Manuel Dopazo Mella	Noa María Carballa Rivas ; Mercedes Blanco Iglesias	
17th Edition (2012)	José Antonio Repeto González	Xosé Otero Canto ; Marcial González Vigo	Margarita Souvirón López ; Yoli López	Erick Hernández Mora	Pepe Pol ; Xaime Domínguez Toxo	Sofía Rodríguez Suárez ; Marcos Dios Almeida
18th Edition (2013)	Ramón Sandoval Pérez	Luis García Pérez ; Jacobo Llamas Martínez	Xosé Otero Canto ; Mercedes Saénz Blasco ; José Gabriel Rodríguez Ambrosio	Manrique Fernández Vázquez	Xosé Farruco Graña Rama ; José Luis Hernández Garvi	José Ángel Corral Suárez ; Antonio Garrigo Jiménez
