Rank	Name	Nation	Time	Speed	Note
1	Vilija Sereikaite	Lithuania	3:33.766	50.522	Q
2	Ellen van Dijk	Netherlands	3:35.951	50.011	Q
3	Joanna Rowsell	United Kingdom	3:37.641	49.623	q
4	Svitlana Halyuk	Ukraine	3:42.498	48.539	q
5	Aksana Papko	Belarus	3:43.935	48.288	
6	Oxana Kozonchuk	Russia	3:45.132	47.971	
7	Jarmila Machacova	Czech Republic	3:47.209	47.533	
8	Stephanie Pohl	Germany	3:47.483	47.476	
9	Lisa Brennauer	Germany	3:48.017	47.364	
10	Edyta Jasinska	Poland	3:48.628	47.238	
11	Audrey Cordon	France	3:49.376	47.084	
12	Alena Amialyusik	Belarus	3:49.711	47.015	
13	Hannah Mayho	United Kingdom	3:50.176	46.920	
14	Viktoriya Kondel	Russia	3:51.349	46.682	
15	Oksana Lyesnik	Ukraine	3:51.543	46.643	
16	Elise van Hage	Netherlands	3:55.349	45.889	
17	Dominika Maczka	Poland	4:01.597	44.702	
