| Season              | Conference               | Head Coach       | Total Wins     | Total Losses     | Total Ties    | Conference Wins                       | Conference Losses                       | Conference Ties                   | Conference Standing              | Postseason Result                  |
| 1905                | Independent              | Sidney Smith     | 2              | 3                | 1             | —                                     | —                                       | —                                 | —                                | —                                  |
| 1906                | Independent              | Ralph Foster     | 3              | 0                | 0             | —                                     | —                                       | —                                 | —                                | —                                  |
| 1907                | Independent              | Ralph Foster     | 1              | 5                | 1             | —                                     | —                                       | —                                 | —                                | —                                  |
| 1908                | Southern Intercollegiate | Ralph Foster     | 4              | 1                | 1             | —                                     | —                                       | —                                 | —                                | —                                  |
| 1909                | Southern Intercollegiate | Sam Costen       | 4              | 3                | 2             | 0                                     | 1                                       | 1                                 | —                                | —                                  |
| 1910                | Southern Intercollegiate | Sam Costen       | 3              | 4                | 0             | 1                                     | 3                                       | 0                                 | —                                | —                                  |
| 1911                | Southern Intercollegiate | L. S. LeTellier  | 5              | 2                | 2             | 1                                     | 2                                       | 0                                 | —                                | —                                  |
| 1912                | Southern Intercollegiate | L. S. LeTellier  | 3              | 4                | 0             | 0                                     | 3                                       | 0                                 | —                                | —                                  |
| 1913                | Southern Intercollegiate | George C. Rogers | 3              | 4                | 2             | 0                                     | 2                                       | 0                                 | —                                | —                                  |
| 1914                | Southern Intercollegiate | George C. Rogers | 2              | 5                | 0             | 0                                     | 3                                       | 0                                 | —                                | —                                  |
| 1915                | Southern Intercollegiate | George C. Rogers | 5              | 3                | 0             | 2                                     | 3                                       | 0                                 | —                                | —                                  |
| 1916                | Southern Intercollegiate | Harvey O'Brien   | 6              | 1                | 1             | 4                                     | 1                                       | 0                                 | —                                | —                                  |
| 1917                | Southern Intercollegiate | Harvey O'Brien   | 3              | 3                | 0             | 1                                     | 3                                       | 0                                 | —                                | —                                  |
| 1918                | Southern Intercollegiate | Harvey O'Brien   | 0              | 2                | 1             | 0                                     | 1                                       | 1                                 | —                                | —                                  |
