"Outcome","No.","Date","Tournament","Surface","Partner","Opponents in the final","Score in the final"
"Winner","1.","12 March 1978","Dallas","Carpet","Martina Navratilova","Evonne Goolagong
 Betty Stöve","6–3, 7–6"
"Runner-up","1.","1 October 1978","Atlanta","Carpet","Martina Navratilova","Françoise Dürr
 Virginia Wade","6–4, 2–6, 4–6"
"Runner-up","2.","8 October 1978","Phoenix","Hard","Martina Navratilova","Tracy Austin
 Betty Stöve","4–6, 7–6, 2–6"
"Winner","2.","12 November 1978","Oldsmar","Hard","Martina Navratilova","Kerry Reid
 Wendy Turnbull","7–6, 6–3"
"Runner-up","3.","18 February 1979","Los Angeles","Hard (i)","Martina Navratilova","Rosemary Casals
 Chris Evert","4–6, 6–1, 3–6"
"Winner","3.","4 March 1979","Dallas","Carpet","Martina Navratilova","Rosemary Casals
 Chris Evert","7–6, 6–2"
"Winner","4.","12 August 1979","Indianapolis","Clay","Kathy Jordan","Penny Johnson
 Paula Smith","6–1, 6–0"
"Runner-up","4.","29 September 1979","Atlanta","Carpet","Ann Kiyomura","Betty Stöve
 Wendy Turnbull","2–6, 4–6"
"Winner","5.","28 October 1979","Tampa","Hard","Virginia Ruzici","Ilana Kloss
 Betty-Ann Stuart","7–5, 4–6, 7–5"
"Winner","6.","25 November 1979","Brighton","Carpet","Ann Kiyomura","Ilana Kloss
 Laura duPont","6–2, 6–1"
"Runner-up","5.","2 December 1979","Melbourne","Grass","Dianne Fromholtz","Billie Jean King
 Wendy Turnbull","3–6, 3–6"
"Runner-up","6.","10 February 1980","Los Angeles","Hard (i)","Kathy Jordan","Rosemary Casals
 Martina Navratilova","6–7, 2–6"
"Runner-up","7.","24 February 1980","Detroit","Carpet","Kathy Jordan","Billie Jean King
 Ilana Kloss","6–3, 3–6, 2–6"
"Winner","7.","13 April 1980","Hilton Head","Clay","Kathy Jordan","Candy Reynolds
 Paula Smith","6–2, 6–1"
"Winner","8.","7 June 1980","French Open","Clay","Kathy Jordan","Ivanna Madruga
 Adriana Villagran","6–1, 6–0"
"Winner","9.","21 June 1980","Eastbourne","Grass","Kathy Jordan","Pam Shriver
 Betty Stöve","6–4, 6–1"
"Winner","10.","5 July 1980","Wimbledon","Grass","Kathy Jordan","Rosemary Casals
 Wendy Turnbull","4–6, 7–5, 6–1"
"Winner","11.","20 July 1980","Montreal","Hard","Pam Shriver","Ann Kiyomura
 Greer Stevens","3–6, 6–6 ret."
"Runner-up","8.","27 July 1980","Richmond","Carpet","Pam Shriver","Billie Jean King
 Martina Navratilova","4–6, 6–4, 3–6"
"Winner","12.","10 August 1980","Indianapolis","Clay","Paula Smith","Virginia Ruzici
 Renáta Tomanová","4–6, 6–3, 6–4"
"Winner","13.","21 September 1980","Las Vegas","Hard (i)","Kathy Jordan","Martina Navratilova
 Betty Stöve","2–6, 6–4, 6–3"
"Runner-up","9.","28 September 1980","Atlanta","Carpet","Kathy Jordan","Barbara Potter
 Sharon Walsh","3–6, 1–6"
"Runner-up","10.","5 October 1980","Minneapolis","Carpet","Paula Smith","Ann Kiyomura
 Candy Reynolds","3–6, 6–4, 1–6"
"Winner","14.","26 October 1980","Brighton","Carpet","Kathy Jordan","Martina Navratilova
 Betty Stöve","6–3, 7–5"
"Runner-up","11.","9 November 1980","Filderstadt","Hard (i)","Kathy Jordan","Hana Mandlíková
 Betty Stöve","4–6, 5–7"
"Runner-up","12.","16 November 1980","Tampa","Hard","Paula Smith","Rosemary Casals
 Candy Reynolds","6–7, 5–7"
"Winner","15.","25 January 1981","Cincinnati","Carpet","Kathy Jordan","Martina Navratilova
 Pam Shriver","1–6, 6–3, 6–3"
"Runner-up","13.","15 March 1981","Dallas","Carpet","Kathy Jordan","Martina Navratilova
 Pam Shriver","5–7, 4–6"
"Runner-up","14.","21 June 1981","Eastbourne","Grass","Kathy Jordan","Martina Navratilova
 Pam Shriver","7–6, 2–6, 1–6"
"Runner-up","15.","3 July 1981","Wimbledon","Grass","Kathy Jordan","Martina Navratilova
 Pam Shriver","3–6, 6–7(6)"
"Runner-up","16.","16 August 1981","Richmond","Carpet","Kathy Jordan","Sue Barker
 Ann Kiyomura","6–4, 6–7, 4–6"
"Runner-up","17.","23 August 1981","Toronto","Hard","Candy Reynolds","Martina Navratilova
 Pam Shriver","6–7, 6–7"
"Winner","16.","12 September 1981","US Open","Hard","Kathy Jordan","Rosemary Casals
 Wendy Turnbull","6–3, 6–3"
"Winner","17.","25 October 1981","Brighton","Carpet","Barbara Potter","Mima Jaušovec
 Pam Shriver","6–7, 6–3, 6–4"
"Runner-up","18.","1 November 1981","Filderstadt","Hard (i)","Barbara Potter","Mima Jaušovec
 Martina Navratilova","4–6, 1–6"
"Runner-up","19.","29 November 1981","Sydney","Grass","Kathy Jordan","Martina Navratilova
 Pam Shriver","7–6, 2–6, 4–6"
"Winner","18.","5 December 1981","Australian Open","Grass","Kathy Jordan","Martina Navratilova
 Pam Shriver","6–2, 7–5"
"Winner","19.","10 January 1982","Washington, D.C.","Carpet","Kathy Jordan","Martina Navratilova
 Pam Shriver","6–2, 3–6, 6–1"
"Runner-up","20.","17 January 1982","Cincinnati","Carpet","Pam Shriver","Sue Barker
 Ann Kiyomura","2–6, 6–7"
"Runner-up","21.","24 January 1982","Seattle","Carpet","Kathy Jordan","Rosemary Casals
 Wendy Turnbull","5–7, 4–6"
"Runner-up","22.","14 February 1982","Kansas City","Carpet","Mary Lou Piatek","Barbara Potter
 Sharon Walsh","6–4, 2–6, 2–6"
