Event	Meeting Gaz de France\nParis	Golden Gala\nRome	Bislett Games\nOslo	Weltklasse Zürich	Memorial van Damme\nBrussels	ISTAF\nBerlin
100 m	Christine Arron (FRA)\n11.03	Christine Arron (FRA)\n11.03	Christine Arron (FRA)\n11.06	Veronica Campbell (JAM)\n10.85	Christine Arron (FRA)\n10.97	Christine Arron (FRA)\n11.01
200 m	-	-	-	-	Cydonie Mothersille (CAY)\n22.94	-
400 m	Tonique Williams-Darling (BAH)\n49.69	Sanya Richards (USA)\n49.82	-	Sanya Richards (USA)\n48.92	-	-
800 m	Svetlana Cherkasova (RUS)\n1:57.52	Hasna Benhassi (MAR)\n1:58.41	Tatyana Andrianova (RUS)\n1:56.91	Zulia Calatayud (CUB)\n1:59.16	Mayte Martínez (ESP)\n2:00.66	Zulia Calatayud (CUB)\n1:59.25
1500 m	Olga Yegorova (RUS)\n4:01.85	Mestawat Tadesse (ETH)\n4:04.95	-	-	-	-
3000 m / 5000 m	Edith Masai (KEN)\n8:31.27	-	Maryam Yusuf Jamal (BHR)\n8:28.87	Maryam Yusuf Jamal (BHR)\n8:29.45	-	-
3000 m / 5000 m	-	Tirunesh Dibaba (ETH)\n14:32.57	-	-	Meseret Defar (ETH)\n14:28.98	Berhane Adere (ETH)\n14:47.56
100 m hurdles	Joanna Hayes (USA)\n12.60	Anjanette Kirkland (USA)\n12.57	-	Michelle Perry (USA)\n12.55	-	Brigitte Foster-Hylton (JAM)\n12.63
400 m hurdles	Lashinda Demus (USA)\n53.85	Lashinda Demus (USA)\n53.68	Sandra Glover (USA)\n53.93	Yuliya Pechonkina (RUS)\n53.30	Lashinda Demus (USA)\n53.61	Sandra Glover (USA)\n54.17
Long jump	-	-	-	-	Tatyana Kotova (RUS)\n6.87	-
Triple jump	Tatyana Lebedeva (RUS)\n15.11	Tatyana Lebedeva (RUS)\n15.03	Tatyana Lebedeva (RUS)\n14.89	Tatyana Lebedeva (RUS)\n14.94	Tatyana Lebedeva (RUS)\n14.94	Tatyana Lebedeva (RUS)\n14.85
High jump	-	-	Amy Acuff (USA)\n1.93	-	-	-
Pole vault	-	-	-	-	Yelena Isinbayeva (RUS)\n4.93	-
Discus throw	-	-	-	-	-	Natalya Sadova (RUS)\n64.20
Shot put	-	-	-	-	-	Nadine Kleinert (GER)\n19.19
