| District | Senator                | Party      | Caucus     | First elected | Counties Represented                                                                |
| 1        | Kenneth P. LaValle     | Republican | Republican | 1976          | Suffolk                                                                             |
| 2        | John J. Flanagan       | Republican | Republican | 2002          | Suffolk                                                                             |
| 3        | Lee Zeldin             | Republican | Republican | 2010          | Suffolk                                                                             |
| 4        | Philip M. Boyle        | Republican | Republican | 2012          | Suffolk                                                                             |
| 5        | Carl L. Marcellino     | Republican | Republican | 1995†         | Nassau, Suffolk                                                                     |
| 6        | Kemp Hannon            | Republican | Republican | 1989†         | Nassau                                                                              |
| 7        | Jack M. Martins        | Republican | Republican | 2010          | Nassau                                                                              |
| 8        | Vacant                 |            |            |               | Nassau, Suffolk                                                                     |
| 9        | Dean Skelos            | Republican | Republican | 1984          | Nassau                                                                              |
| 10       | James Sanders, Jr.     | Democratic | Democratic | 2012          | Queens                                                                              |
| 11       | Tony Avella            | Democratic | Democratic | 2010          | Queens                                                                              |
| 12       | Michael N. Gianaris    | Democratic | Democratic | 2010          | Queens                                                                              |
| 13       | Jose Peralta           | Democratic | Democratic | 2010†         | Queens                                                                              |
| 14       | Malcolm Smith          | Democratic | No caucus  | 2000†         | Queens                                                                              |
| 15       | Joseph Addabbo, Jr.    | Democratic | Democratic | 2008          | Queens                                                                              |
| 16       | Toby Ann Stavisky      | Democratic | Democratic | 1999†         | Queens                                                                              |
| 17       | Simcha Felder          | Democratic | Republican | 2012          | Brooklyn                                                                            |
| 18       | Martin Malave Dilan    | Democratic | Democratic | 2002          | Brooklyn                                                                            |
| 19       | John L. Sampson        | Democratic | No caucus  | 1996          | Brooklyn                                                                            |
| 20       | Vacant                 |            |            |               | Brooklyn                                                                            |
| 21       | Kevin S. Parker        | Democratic | Democratic | 2002          | Brooklyn                                                                            |
| 22       | Martin J. Golden       | Republican | Republican | 2002          | Brooklyn                                                                            |
| 23       | Diane Savino           | Democratic | IDC        | 2004          | Brooklyn, Staten Island                                                             |
| 24       | Andrew J. Lanza        | Republican | Republican | 2006          | Staten Island                                                                       |
| 25       | Velmanette Montgomery  | Democratic | Democratic | 1984          | Brooklyn                                                                            |
