"Contestant","Original
Tribe","First
Switch","Second
Switch","Merged
Tribe","Finish","Ghost
Island","Total
Votes"
"Branka Čudanov
28, Kikinda","Ga 'dang","","","","2nd Voted Out
Day 7","1st Eliminated
Day 9","10"
"Gordana Berger
38, Belgrade","Manobo","","","","1st Voted Out
Day 4","2nd Eliminated
Day 12","9"
"Ana Mitrić
23, Belgrade","Ga 'dang","","","","3rd Voted Out
Day 10","3rd Eliminated
Day 15","7"
"Milena Vitanović
21, Paraćin","Ga 'dang","","","","4th Voted Out
Day 13","4th Eliminated
Day 18","8"
"Nikola Kovačević
Returned to game from Ghost Island","Ga 'dang","","","","5th Voted Out
Day 16","Ghost Island Winner
Day 32","6"
"Branislava Bogdanović
27, Kačarevo","Manobo","","","","Eliminated in a twist
Day 17","5th Eliminated
Day 18","2"
"Pece Kotevski
42, Bitola, Macedonia","Ga 'dang","Manobo","","","6th Voted Out
Day 19","6th Eliminated
Day 21","7"
"Predrag Veljković
29, Pekčanica, near Kraljevo","Ga 'dang","Manobo","","","Quit
Day 22","7th Eliminated
Day 24","3"
"Anita Mažar
23, Kula","Ga 'dang","Ga 'dang","","","Removed Due to Injury
Day 24","","1"
"Aleksandar Bošković
28, Belgrade","Manobo","Manobo","","","7th Voted Out
Day 25","8th Eliminated
Day 27","4"
"Ana Stojanovska
21, Skopje, Macedonia","Manobo","Manobo","Manobo","","8th Voted Out
Day 28","9th Eliminated
Day 30","3"
"Luka Rajačić
21, Belgrade","Ga 'dang","Manobo","Manobo","","9th Voted Out
Day 31","10th Eliminated
Day 32","6"
"Nemanja Vučetić
23, Novi Sad","Manobo","Ga 'dang","Ga 'dang","Diwata","10th Voted Out
1st Jury Member
Day 35","","7"
"Nikola Kovačević
24, Kragujevac","Ga 'dang","","","Diwata","11th Voted Out
2nd Jury Member
Day 38","Ghost Island Winner
Day 32","12"
"Dina Berić
23, Ledinci, near Novi Sad","Manobo","Ga 'dang","Manobo","Diwata","12th Voted Out
3rd Jury Member
Day 41","","6"
"Višnja Banković
24, Aranđelovac","Ga 'dang","Ga 'dang","Ga 'dang","Diwata","13th Voted Out
4th Jury Member
Day 44","","14"
"Klemen Rutar
21, Ljubljana, Slovenija","Manobo","Ga 'dang","Ga 'dang","Diwata","14th Voted Out
5th Jury Member
Day 47","Locator of
Hidden Immunity Idol
(Failed)
Day 34","6"
"Srđan Dinčić
25, Sremska Mitrovica","Manobo","Manobo","Ga 'dang","Diwata","15th Voted Out
6th Jury Member
Day 50","","7"
"Srđan Dinčić
25, Sremska Mitrovica","Manobo","Manobo","Manobo","Diwata","15th Voted Out
6th Jury Member
Day 50","","7"
"Njegoš Arnautović
21, Bijeljina, Republika Srpska","Manobo","Ga 'dang","Ga 'dang","Diwata","Eliminated in Challenge
7th Jury Member
Day 53","Locator of
Hidden Immunity Idol
(Successful)
Day 40","1"
"Dušan Milisavljević
25, Zvečan","Manobo","Manobo","Manobo","Diwata","Eliminated in Challenge
8th Jury Member
Day 53","Locator of
Hidden Immunity Idol
(Failed)
Day 37","2"
"Vesna Đolović
38, Beograd","Manobo","Manobo","Manobo","Diwata","2nd Runner-Up","Locator of
Hidden Immunity Idol
(Failed)
Day 46","8"
"Teja Lapanja
30, Škofja Loka, Slovenija","Ga 'dang","Ga 'dang","Ga 'dang","Diwata","Runner-Up","Locator of
Hidden Immunity Idol
(Failed)
Day 49","1"
"Aleksandar Krajišnik
19, Majur, near Šabac","Ga 'dang","Ga 'dang","Ga 'dang","Diwata","Sole Survivor","Locator of
Hidden Immunity Idol
(Failed)
Day 43","0"
