"Round","Round","Circuit","Date","Pole Position","Fastest Lap","Winning Rider"
"1","R1","Jerez","18 March","Raymond Roche","Stéphane Mertens","Raymond Roche"
"1","R2","Jerez","18 March","Raymond Roche","Raymond Roche","Raymond Roche"
"2","R1","Donington","16 April","Giancarlo Falappa","Rob Phillis","Fred Merkel"
"2","R2","Donington","16 April","Giancarlo Falappa","Raymond Roche","Giancarlo Falappa"
"3","R1","Hungaroring","30 April","Malcolm Campbell","Raymond Roche","Fred Merkel"
"3","R2","Hungaroring","30 April","Malcolm Campbell","Fred Merkel","Raymond Roche"
"4","R1","Hockenheim","6 May","Raymond Roche","Fred Merkel","Fred Merkel"
"4","R2","Hockenheim","6 May","Raymond Roche","Raymond Roche","Stéphane Mertens"
"5","R1","Mosport","3 June","Giancarlo Falappa","Raymond Roche","Raymond Roche"
"5","R2","Mosport","3 June","Giancarlo Falappa","Jamie James","Raymond Roche"
"6","R1","Brainerd","10 June","Doug Chandler","Doug Chandler","Stéphane Mertens"
"6","R2","Brainerd","10 June","Doug Chandler","Fabrizio Pirovano","Doug Chandler"
"7","R1","Österreichring","1 July","Stéphane Mertens","Rob McElnea","Fabrizio Pirovano"
"7","R2","Österreichring","1 July","Stéphane Mertens","Stéphane Mertens","Stéphane Mertens"
"8","R1","Sugo","26 August","Raymond Roche","Raymond Roche","Raymond Roche"
"8","R2","Sugo","26 August","Raymond Roche","Peter Goddard","Doug Chandler"
"9","R1","Le Mans","9 September","Baldassarre Monti","Raymond Roche","Raymond Roche"
"9","R2","Le Mans","9 September","Baldassarre Monti","Jamie James","Raymond Roche"
"10","R1","Monza","7 October","Baldassarre Monti","Rob Phillis","Fabrizio Pirovano"
"10","R2","Monza","7 October","Baldassarre Monti","Rob Phillis","Fabrizio Pirovano"
"11","R1","Shah Alam","4 November","Rob Phillis","Fabrizio Pirovano","Fabrizio Pirovano"
"11","R2","Shah Alam","4 November","Rob Phillis","Raymond Roche","Fabrizio Pirovano"
"12","R1","Phillip Island","11 November","Peter Goddard","Fabrizio Pirovano","Peter Goddard"
"12","R2","Phillip Island","11 November","Peter Goddard","Malcolm Campbell","Rob Phillis"
"13","R1","Manfeild","18 November","Rob Phillis","Brian Morrison","Terry Rymer"
"13","R2","Manfeild","18 November","Rob Phillis","Raymond Roche","Rob Phillis"
