"Season","Average","High","Low","Season tickets"
"2001–02 Serie A","17,956","27,498","14,704","12,156"
"2002–03 Serie A","16,306","25,603","12,980","11,544"
"2003–04 Serie A","15,904","23,663","11,463","10,439"
"2004–05 Serie A","14,044","23,010","10,711","9,923"
"2005–06 Serie A","14,372","23,116","11,575","10,639"
"2006–07 Serie A","14,644","20,488","11,946","11,120"
"2007–08 Serie A","15,427","25,149","11,890","11,386"
"2008–09 Serie B","10,031","12,265","9,261",""
"2009–10 Serie A","17,061","21,323","11,870","13,691"
"2010–11 Serie A","14,524","19,615","11,975","10,578"
"2011–12 Serie A","13,646","19,481","10,800","9,620"
"2012–13 Serie A","12,740","19,073","9,627","10,546"
