#	Date	Venue	Opponents	Score	Comp	Denmark scorers
162	1950-05-28	JNA Stadium, Belgrade (A)	Yugoslavia	1-5	F	Axel Pilmark
163	1950-06-22	Idrætsparken, Copenhagen (H)	Norway	4-0	NC	Poul Erik "Popper" Petersen, Edwin Hansen, Jens Peter Hansen, Aage Rou Jensen
164	1950-06-25	Aarhus Stadion, Aarhus (H)	Norway	1-4	NC	Aage Rou Jensen
165	1950-08-27	Olympic Stadium, Helsinki (A)	Finland	2-1	NC	Poul Erik "Popper" Petersen, Holger Seebach
166	1950-09-10	Idrætsparken, Copenhagen (H)	Yugoslavia	1-4	F	Edwin Hansen
167	1950-10-15	Råsunda Stadium, Stockholm (A)	Sweden	0-4	NC	
168	1950-11-05	Prater Stadium, Vienna (A)	Austria	1-5	F	Erik Kuld Jensen
169	1951-05-12	Hampden Park, Glasgow (A)	Scotland	1-3	F	Jørgen W. Hansen
170	1951-06-17	Idrætsparken, Copenhagen (H)	Austria	3-3	F	Aage Rou Jensen (2), Knud Lundberg
171	1951-09-16	Ullevaal Stadion, Oslo (A)	Norway	0-2	NC	
172	1951-09-30	Idrætsparken, Copenhagen (H)	Finland	1-0	NC	Hilmar Staalgaard
173	1951-10-21	Idrætsparken, Copenhagen (H)	Sweden	3-1	NC	Poul "Rassi" Rasmussen, Knud Lundberg, Hilmar Staalgaard
174	1952-05-25	Idrætsparken, Copenhagen (H)	Scotland	1-2	F	Poul "Rassi" Rasmussen
175	1952-06-11	Bislett Stadium, Oslo (N)	Sweden	0-2	OT	
176	1952-06-22	Råsunda Stadium, Stockholm (A)	Sweden	3-4	NC	Poul "Rassi" Rasmussen, Poul Erik "Popper" Petersen, Holger Seebach
177	1952-07-15	Tammela Stadion, Tampere (N)	Greece	2-1	OG	Poul Erik "Popper" Petersen, Holger Seebach
178	1952-07-21	Kupittaa Stadion, Turku (N)	Poland	2-0	OG	Holger Seebach, Svend "Boston" Nielsen
179	1952-07-25	Pallokenttä, Helsinki (N)	Yugoslavia	3-5	OG	Knud Lundberg, Holger Seebach, Jens Peter Hansen
180	1952-09-21	Idrætsparken, Copenhagen (H)	Netherlands	3-2	F	Kurt "Nikkelaj" Nielsen, Poul Erik "Popper" Petersen
181	1952-10-05	Olympic Stadium, Helsinki (A)	Finland	1-2	NC	Per Jensen
182	1952-10-19	Idrætsparken, Copenhagen (H)	Norway	1-3	NC	Per Jensen
183	1953-06-21	Idrætsparken, Copenhagen (H)	Sweden	1-3	NC	Holger Seebach
184	1953-06-27	St. Jakob-Park, Basel (A)	Switzerland	4-1	F	Knud Ove Sørensen, Aage Rou Jensen (2), Jens Peter Hansen
185	1953-08-09	Idrætsparken, Copenhagen (H)	Iceland	4-0	F	Holger Seebach (2), Erik Nielsen, Erik Hansen
186	1953-09-13	Ullevaal Stadion, Oslo (A)	Norway	1-0	NC	Bent Sørensen
187	1953-10-04	Idrætsparken, Copenhagen (H)	Finland	6-1	NC	Jens Peter Hansen (2), Poul Erik "Popper" Petersen, Bent Sørensen, Kurt "Nikkelaj" Nielsen (2)
188	1954-06-04	Malmö Idrottsplats, Malmö (N)	Norway	1-2\n(aet)	OT	Valdemar Kendzior
189	1954-06-13	Olympic Stadium, Helsinki (A)	Finland	2-2	NC	Valdemar Kendzior (2)
190	1954-09-19	Idrætsparken, Copenhagen (H)	Switzerland	1-1	F	Jørgen Olesen
191	1954-10-10	Råsunda Stadium, Stockholm (A)	Sweden	2-5	NC	Jens Peter Hansen, Bent Sørensen
