Rank	Bib	Name	Nationality	Start	Penalties (P+P+S+S)	Time	Deficit
	1	Emil Hegle Svendsen	Norway	0:00	1 (0+0+0+1)	32:35.5	
	2	Martin Fourcade	France	0:08	2 (0+1+1+0)	32:35.6	+0.1
	7	Anton Shipulin	Russia	0:33	1 (0+0+1+0)	32:39.1	+3.6
4	5	Dmitry Malyshko	Russia	0:23	0 (0+0+0+0)	32:40.9	+5.4
5	15	Dominik Landertinger	Austria	0:58	0 (0+0+0+0)	32:55.9	+20.4
6	3	Jakov Fak	Slovenia	0:11	1 (0+0+0+1)	33:05.2	+29.7
7	8	Fredrik Lindström	Sweden	0:38	1 (0+0+1+0)	33:18.9	+43.4
8	6	Alexis Bœuf	France	0:25	2 (0+0+2+0)	33:22.1	+46.6
9	13	Björn Ferry	Sweden	0:52	0 (0+0+0+0)	33:23.6	+48.1
10	4	Ole Einar Bjørndalen	Norway	0:20	4 (2+0+1+1)	33:27.0	+51.5
11	14	Lukas Hofer	Italy	0:57	2 (0+2+0+0)	33:28.8	+53.3
12	10	Simon Eder	Austria	0:39	3 (0+0+2+1)	33:50.5	+1:15.0
13	32	Lowell Bailey	United States	1:38	0 (0+0+0+0)	33:56.4	+1:20.9
14	12	Erik Lesser	Germany	0:49	4 (1+0+2+1)	34:06.0	+1:30.5
15	36	Jean-Philippe Leguellec	Canada	1:45	1 (0+0+0+1)	34:08.7	+1:33.2
16	9	Evgeny Ustyugov	Russia	0:38	3 (0+1+2+0)	34:16.7	+1:41.2
17	18	Tarjei Bø	Norway	1:14	3 (2+0+1+0)	34:18.9	+1:43.4
18	29	Simon Schempp	Germany	1:36	1 (0+0+0+1)	34:24.4	+1:48.9
19	11	Krasimir Anev	Bulgaria	0:48	2 (0+1+0+1)	34:24.7	+1:49.2
20	37	Henrik L'Abee-Lund	Norway	1:45	1 (0+0+0+1)	34:36.1	+2:00.6
21	16	Arnd Peiffer	Germany	1:08	3 (0+0+2+1)	34:39.8	+2:04.3
22	23	Andreas Birnbacher	Germany	1:25	3 (0+1+1+1)	34:41.7	+2:06.2
23	34	Simon Fourcade	France	1:42	3 (0+3+0+0)	34:51.1	+2:15.6
