Pos	No	Driver	Team	Laps	Time/Retired	Grid	Points
1	1	Sébastien Bourdais	Newman/Haas Racing	66	1:51:31.146	2	34
2	9	Justin Wilson	RuSPORT	66	+3.528 secs	1	29
3	5	Will Power	Team Australia	66	+46.536 secs	4	26
4	2	Bruno Junqueira	Newman/Haas Racing	66	+1:04.023	3	23
5	15	Alex Tagliani	Team Australia	66	+1:18.033	8	22
6	6	Oriol Servià	PKV Racing	66	+1:28.745	7	19
7	4	Nelson Philippe	CTE Racing - HVM	66	+1:29.997	10	17
8	27	Andrew Ranger	Mi-Jack Conquest Racing	65	+ 1 Lap	16	16
9	3	David Martínez	Forsythe Racing	65	+ 1 Lap	9	13
10	7	Buddy Rice	Forsythe Racing	65	+ 1 Lap	14	11
11	34	Charles Zwolsman	Mi-Jack Conquest Racing	65	+ 1 Lap	12	10
12	18	Antônio Pizzonia	Rocketsports Racing	65	+ 1 Lap	15	9
13	11	Jan Heylen	Dale Coyne Racing	65	+ 1 Lap	17	8
14	10	Ryan Briscoe	RuSPORT	64	+ 2 Laps	5	7
15	19	Andreas Wirth	Dale Coyne Racing	64	+ 2 Laps	18	6
16	20	Katherine Legge	PKV Racing	63	+ 3 Laps	13	5
17	8	Mario Domínguez	Rocketsports Racing	59	Retired	11	4
18	14	Dan Clarke	CTE Racing - HVM	7	Differential	6	3
