"#","Date","Opponent","Score","Win","Loss","Save","Attendance","Record"
"79","July 1","@ Braves","8–4","Gonzalez (11–3)","Hudson (6–4)","","18,796","45–32"
"80","July 3","Giants","9–3","Zimmermann (5–6)","Lincecum (3–9)","","36,985","46–32"
"81","July 4","Giants","9–4","Jackson (5–4)","Bumgarner (10–5)","","35,806","47–32"
"82","July 5","Giants","6–5","Clippard (2–2)","Casilla (2–4)","","29,819","48–32"
"83","July 6","Rockies","1–5","Pomeranz (1–3)","Strasburg (9–4)","Betancourt (14)","28,951","48–33"
"84","July 7","Rockies","4–1","Gonzalez (12–3)","Francis (2–2)","Clippard (14)","28,032","49–33"
"85","July 8","Rockies","3–4","Brothers (4–2)","Clippard (2–3)","Betancourt (15)","25,125","49–34"
"–","July 10","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri","2012 Major League Baseball All-Star Game in Kansas City, Missouri"
"86","July 13","@ Marlins","5–1","Zimmermann (6–6)","Johnson (5–6)","","30,911","50–34"
"87","July 14","@ Marlins","1–2","Buehrle (9–8)","Gonzalez (12–4)","Cishek (2)","28,707","50–35"
"88","July 15","@ Marlins","4–0","Strasburg (10–4)","Nolasco (8–7)","","29,889","51–35"
"89","July 16","@ Marlins","3–5","Zambrano (5–7)","Jackson (5–5)","Dunn (1)","29,248","51–36"
"90","July 17","Mets","5–4 (10)","Mattheus (3–1)","Byrdak (2–1)","","26,342","52–36"
"91","July 18","Mets","4–3","Zimmermann (7–6)","Young (2–4)","Clippard (15)","31,660","53–36"
"92","July 19","Mets","5–9","Dickey (13–1)","Gonzalez (12–5)","","36,389","53–37"
"93","July 20","Braves","10–11 (11)","O'Flaherty (2–0)","Gorzelanny (2–2)","Durbin (1)","34,228","53–38"
"94","July 21","Braves","0–4","Sheets (2–0)","Jackson (5–6)","","28,745","53–39"
"52","July 21","Braves","5–2","Lannan (1–0)","Martínez (4–2)","Clippard (16)","40,047","54–39"
"95","July 22","Braves","9–2","Detwiler (5–3)","Jurrjens (3–4)","","34,917","55–39"
"96","July 23","@ Mets","8–2 (10)","Gorzelanny (3–2)","Byrdak (2–2)","","26,735","56–39"
"97","July 24","@ Mets","5–2","Gonzalez (13–5)","Dickey (13–2)","Clippard (17)","36,236","57–39"
"98","July 25","@ Mets","5–2","Strasburg (11–4)","Hefner (1–4)","Clippard (18)","35,517","58–39"
"99","July 26","@ Brewers","8–2","Jackson (6–6)","Gallardo (8–8)","","33,176","59–39"
"100","July 27","@ Brewers","0–6","Fiers (4–4)","Detwiler (5–4)","","35,858","59–40"
"101","July 28","@ Brewers","4–1","Zimmermann (8–6)","Wolf (3–7)","Clippard (19)","41,890","60–40"
"102","July 29","@ Brewers","11–10 (11)","Stammen (4–1)","Veras (3–4)","Clippard (20)","44,663","61–40"
"103","July 31","Phillies","0–8","Lee (2–6)","Strasburg (11–5)","","30,167","61–41"
