| Series | Name                          | Age | Hometown             | Occupation                                 | Status            |
| BB1    | Craig Phillips                | 28  | Liverpool            | Builder                                    | 1st - Winner      |
| BB1    | Anna Nolan                    | 29  | Dublin               | Office Manager                             | 2nd - Runner-up   |
| BB1    | Darren Ramsay                 | 23  | London               | Millennium Dome Assistant                  | 3rd - Third place |
| BB1    | Melanie Hill                  | 26  | London               | Computer Sales Woman                       | 4th - Evicted     |
| BB1    | Claire Strutton               | 25  | Buckinghamshire      | Florist                                    | 5th - Evicted     |
| BB1    | Tom McDermott                 | 28  | County Tyrone        | Farmer                                     | 6th - Evicted     |
| BB1    | Nichola Holt                  | 29  | Bolton               | Teacher                                    | 7th - Evicted     |
| BB1    | Nick Bateman                  | 32  | Kent                 | Broker                                     | 8th - Ejected     |
| BB1    | Caroline O'Shea               | 31  | Birmingham           | Marital Aids Seller                        | 9th - Evicted     |
| BB1    | Andrew Davidson               | 23  | Hertfordshire        | Marketing Product Manager                  | 10th - Evicted    |
| BB1    | Sada Wilkington               | 28  | Edinburgh            | Writer                                     | 11th - Evicted    |
| BB2    | Brian Dowling                 | 22  | County Kildare       | Air Steward                                | 1st - Winner      |
| BB2    | Helen Adams                   | 22  | South Wales          | Hairdresser                                | 2nd - Runner-up   |
| BB2    | Dean O'Loughlin               | 37  | Birmingham           | Runs own Internet Company                  | 3rd - Third Place |
| BB2    | Elizabeth Woodcock            | 26  | Cumbria              | Website Designer                           | 4th - Evicted     |
| BB2    | Paul Clarke                   | 25  | Reading              | CAD designer                               | 5th - Evicted     |
| BB2    | Josh Rafter                   | 32  | London               | Property manager                           | 6th - Evicted     |
| BB2    | Amma Antwi-Agyei              | 23  | London               | Table Dancer                               | 7th - Evicted     |
| BB2    | Bubble (Paul) Ferguson        | 24  | Surrey               | Warehouse Operative                        | 8th - Evicted     |
| BB2    | Narinder Kaur                 | 28  | Leicester            | Medical rep                                | 9th - Evicted     |
| BB2    | Stuart Hosking                | 36  | Oxford               | Director of communications company         | 10th - Evicted    |
| BB2    | Penny Ellis                   | 33  | London               | Teacher                                    | 11th - Evicted    |
| BB3    | Kate Lawler                   | 22  | London               | Technical support administrator            | 1st - Winner      |
| BB3    | Jonny Regan                   | 29  | County Durham        | Firefighter                                | 2nd - Runner-up   |
| BB3    | Alex Sibley                   | 23  | London               | Model                                      | 3rd - Third Place |
| BB3    | Jade Goody                    | 20  | London               | Dental Nurse                               | 4th - Evicted     |
| BB3    | Tim Culley                    | 23  | Worcester            | Tennis coach                               | 5th - Evicted     |
| BB3    | PJ (Peter) Ellis              | 22  | Birmingham           | Student                                    | 6th - Evicted     |
| BB3    | Adele Roberts                 | 29  | Southport            | PA/DJ                                      | 7th - Evicted     |
| BB3    | Sophie Pritchard              | 24  | Buckinghamshire      | Recruitment Consultant                     | 8th - Evicted     |
| BB3    | Spencer Smith                 | 22  | Cambridge            | Ski Shop Assistant                         | 9th - Evicted     |
| BB3    | Lee Davey                     | 21  | Leicester            | Fitness Instructor                         | 10th - Evicted    |
| BB3    | Sandy Cumming                 | 43  | London               | Personal shopper/Stylist                   | 11th - Walked     |
| BB3    | Alison Hammond                | 27  | Birmingham           | Cinema Team Leader                         | 12th - Evicted    |
| BB3    | Lynne Moncrieff               | 36  | Aberdeen             | Student                                    | 13th - Evicted    |
| BB3    | Sunita Sharma                 | 25  | London               | Trainee barrister                          | 14th - Walked     |
| BB4    | Cameron Stout                 | 32  | Orkney               | Fish Trader                                | 1st - Winner      |
| BB4    | Ray Shah                      | 25  | Dublin               | IT Systems Administrator                   | 2nd - Runner-up   |
| BB4    | Scott Turner                  | 27  | Liverpool            | Waiter                                     | 3rd - Third Place |
| BB4    | Steph (Stephanie) Coldicott   | 28  | Worcester            | Visual Merchandiser                        | 4th - Evicted     |
| BB4    | Nush (Annuszka) Nowak         | 23  | Worcester            | Fine Art Student                           | 5th - Evicted     |
| BB4    | Lisa Jeynes                   | 35  | South Wales          | Shop Manager                               | 6th - Evicted     |
| BB4    | Herjendar "Gos" Gosal         | 31  | London               | Chef                                       | 7th - Evicted     |
| BB4    | Tania do Nascimento           | 22  | London               | Shop Assistant                             | 8th - Evicted     |
| BB4    | Jon Tickle                    | 29  | Surrey               | Unemployed                                 | 9th - Evicted     |
| BB4    | Federico Martone              | 23  | Glasgow              | Waiter                                     | 10th - Evicted    |
