Model	Launch	Code name	Fab (nm)	Bus interface	Memory (MiB)	Core clock (MHz)	Memory clock (MHz)	Config core1	Fillrate\nMOperations/s	Fillrate\nMPixels/s	Fillrate\nMTextels/s	Fillrate\nMVertices/s	Memory\nBandwidth (GB/s)	Memory\nBus type	Memory\nBus width (bit)	DirectX support
Voodoo Graphics	October 1, 1996	SST1	500	PCI	2, 4	50	50	1:0:1:1	50	50	50	0	0.8	EDO	128	3.0
Voodoo Rush	April 1997	SST96	500	AGP 2x, PCI	2, 4	50	50	1:0:1:1	50	50	50	0	0.4	EDO	64	3.0
Voodoo2	March 1, 1998	SST96	350	PCI	8, 12	90	90	1:0:2:1	90	90	180	0	0.72	EDO	64	3.0
Voodoo Banshee	June 22, 1998	Banshee	350	AGP 2x, PCI	8, 16	100	100	1:0:1:1	100	100	100	0	1.6	SDR	128	6.0
Velocity 100	July 26, 1999	Avenger	250	AGP 2x	8	143	143	1:0:2:1	143	143	286	0	2.288	SDR	128	6.0
Velocity 200	July 26, 1999	Avenger	250	AGP 2x	12	143	143	1:0:2:1	143	143	286	0	2.288	SDR	128	6.0
Voodoo3 1000	March 1999	Avenger	250	AGP 2x, PCI	8, 16	125	125	1:0:2:1	125	125	250	0	2	SDR	128	6.0
Voodoo3 2000	April 3, 1999	Avenger	250	AGP 2x, PCI	16	143	143	1:0:2:1	143	143	286	0	2.288	SDR	128	6.0
Voodoo3 3000	April 3, 1999	Avenger	250	AGP 2x, PCI	16	166	166	1:0:2:1	166	166	333	0	2.66	SDR	128	6.0
Voodoo3 3500 TV	June 1999	Avenger	250	AGP 2x, PCI	16	183	183	1:0:2:1	183	183	366	0	2.928	SDR	128	6.0
Voodoo4 4200	Never Released	VSA-100	250	AGP 4x, PCI	32	183	183	2:0:2:2	366	366	366	0	1.464	SDR	64	6.0
Voodoo4 4500	October 13, 2000	VSA-100	250	AGP 4x, PCI	32	166	166	2:0:2:2	332	332	332	0	2.656	SDR	128	6.0
Voodoo4 4800	Never Released	VSA-100	250	AGP 4x, PCI	32	200	200	2:0:2:2	400	400	400	0	3.2	SDR	128	6.0
Voodoo5 5000	Never Released	VSA-100 x2	250	AGP 4x, PCI	32	166	166	2:0:2:2 x2	664	664	664	0	2.656	SDR	128	6.0
Voodoo5 5500	June 22, 2000	VSA-100 x2	250	AGP 4x, PCI	64	166	166	2:0:2:2 x2	664	664	664	0	2.656	SDR	128	6.0
Voodoo5 6000	Never Released	VSA-100 x4	250	AGP 4x, PCI	128	166	166	2:0:2:2 x4	1328	1328	1328	0	5.312	SDR	256	6.0
Spectre 1000	Never Released	Rampage	180	AGP 4x	64	200	400	4:0:4:4	800	800	800	0	6.4	DDR	128	?
Spectre 2000	Never Released	Rampage + Sage	180	AGP 4x	64	200	400	4:0:4:4	800	800	800	0	6.4	DDR	128	?
Spectre 3000	Never Released	Rampage x2 + Sage	180	AGP 4x	128	200	400	4:0:4:4 x2	800	800	800	0	12.8	DDR	256	?
