"Week","Date","Opponent","Result","Attendance"
"1","September 4, 1988","at Detroit Lions","L 31–17","31,075"
"2","September 11, 1988","New Orleans Saints","L 29–21","48,901"
"3","September 18, 1988","at San Francisco 49ers","W 34–17","60,168"
"4","September 25, 1988","at Dallas Cowboys","L 26–20","39,702"
"5","October 2, 1988","Seattle Seahawks","L 31–20","28,619"
"6","October 9, 1988","Los Angeles Rams","L 33–0","30,852"
"7","October 16, 1988","at Denver Broncos","L 30–14","75,287"
"8","October 23, 1988","New York Giants","L 23–16","45,092"
"9","October 30, 1988","at Philadelphia Eagles","W 27–24","60,091"
"10","November 6, 1988","Green Bay Packers","W 20–0","29,952"
"11","November 13, 1988","San Diego Chargers","L 10–7","26,329"
"12","November 20, 1988","at Los Angeles Raiders","W 12–6","40,967"
"13","November 27, 1988","Tampa Bay Buccaneers","W 17–10","14,020"
"14","December 4, 1988","San Francisco 49ers","L 13–3","44,048"
"15","December 11, 1988","at Los Angeles Rams","L 22–7","42,828"
"16","December 18, 1988","at New Orleans Saints","L 10–9","60,566"
