Route	Name	Fare Type	Terminals	Terminals	Major streets	Notes	History
31	Wisconsin Avenue Line	Local	Friendship Heights station	Potomac Park (Virginia Av & 21st St NW)	Wisconsin Avenue NW		31 replaces the Wisconsin Avenue portion of the old 30 (see Pennsylvania Avenue Line)
32, 36	Pennsylvania Avenue Line	Local	Friendship Heights station	32 Southern Avenue station\n36 Naylor Road station	Wisconsin Avenue NW\nPennsylvania Avenue SE/NW\nBranch Avenue SE (36)\nAlabama Avenue SE (32)	Some weekday 32 and 36 trips terminate at:\n\nFarragut Square\nFoggy Bottom – GWU station	36 replaces a portion of the old 35 (see Pennsylvania Avenue Line)
34	Naylor Rd Line	Local	Archives (10th St & Pennsylvania Av NW)	Naylor Road station	Pennsylvania Avenue SE\nIndependence Avenue SE/SW\nNaylor Road SE		34 operated to Friendship Heights station until replaced by the M5, which operated from Naylor Road station to Eastern Market station in 2007; 34 replaced the M5 in 2008 with the extension to the Archives station, also see Pennsylvania Avenue Line
37	Wisconsin Avenue Metro Extra Line	Limited Stop	Friendship Heights station	Archives station (AM End)\nFederal Triangle (10th St & Pennsylvania Av NW) (PM Start)	Wisconsin Avenue NW\nMassachusetts Avenue NW\nPennsylvania Avenue NW	Weekday peak hour service only (AM to Archives, PM to Friendship Heights)\nLimited Stops Only	A prior "incarnation" of the 37 was once known as the Wisconsin Avenue Express Line, running from Tenleytown-AU station to Archives until the early 1990s
39	Pennsylvania Avenue Metro Extra Line	Limited Stop	Naylor Road station	Potomac Park (Virginia Av & 21st St NW)	Pennsylvania Avenue SE/NW	Weekday peak hour service only\nAM to Potomac Park, PM to Naylor Road\nLimited Stops Only	
42, 43	Mount Pleasant Line	Local	Mount Pleasant (Mount Pleasant & Lamont Streets NW)	42 Gallery Place station\n43 Farragut Square (AM End)\n43 McPherson Square station (Franklin Square Entrance) (PM Start)	42 Mount Pleasant Street NW, Columbia Road NW, Connecticut Avenue NW, H/I Streets NW\n43 Mount Pleasant Street NW, Columbia Road NW, Connecticut Avenue NW	42 serves Dupont Circle station\n\nsome peak hour trips terminate at Farragut Square\n\n\n43: weekday peak hour service only\n\nTravels underneath Dupont Circle via the Connecticut Avenue underpass)	See Mount Pleasant Line
52, 53, 54	14th Street Line	Local	Takoma station\n14th Street & Colorado Ave NW	52, 54 L'Enfant Plaza Metrorail Station (7th & D Streets SW)\n53 McPherson Square station (Franklin Square Entrance)	14th Street NW\nPennsylvania Avenue NW (54)\nIndependence Avenue SW (52)	52 and 54: daily\n53: Monday-Saturday only	52 & 54 originally terminated at Navy Yard until the mid-1990s, when the 52 was truncated to L'Enfant Plaza station & 54 to Federal Triangle. 54 was later extended to L'Enfant Plaza station.\nThe 53 was introduced several years after the former route 50 was discontinued, operating at first to Bureau Of Engraving before being shortened to Federal Triangle and now to Franklin Square.\nAlso see 14th Street Line
62, 63	Takoma-Petworth Line	Local	Takoma station	62 Georgia Avenue – Petworth station\n63 Federal Triangle (10th St & Constitution Av NW)	5th Street NW, Kansas Avenue NW, Sherman Avenue NW (63)\n13th Street NW (63)	63: weekday peak & early weekend AM hours only	63 operates through the portion of the 62 that operated to Federal Triangle until Georgia Avenue – Petworth station opened in 1999; it also replaces the 68, which operated from Georgia Avenue – Petworth station to Federal Triangle from 2001–2009
60, 64	Fort Totten-Petworth Line	Local	Fort Totten station	60 Georgia Avenue – Petworth station\n64 Federal Triangle (10th St & Constitution Av NW)	Rock Creek Church Rd NW (60)\nUpshur Street NW (60)\nNew Hampshire Avenue NW (64)\n11th Street NW (64)	60: Monday-Friday service only	64 was replaced by the 66 south of Georgia Avenue – Petworth station when it opened in 1999; it replaced the 66 in 2009\n64 also runs on the old 11th Street Streetcar Line.
70	Georgia Avenue-7th Street Line	Local	Silver Spring station*	Archives station	Georgia Avenue NW\n7th Street NW	Silver Spring terminus is located on Wayne Avenue until completion of the Paul S. Sarbanes Transit Center.	See Seventh Street Line\nStarting September 23, 2011, 71 service was discontinued, and the 70 was shortened to Archives. For service to Southwest Waterfront, see route directly below this one.
74	Convention Center-Southwest Waterfront Line	Local	Mount Vernon Square (K & 6th Streets NW)	Half & O Streets SW, or Buzzard Point (2nd & V Streets SW)	7th Street NW/SW	Serves Buzzard Point during rush hour only	Introduced September 24, 2011 as a replacement of DC Circulator's discontinued Convention Center-Southwest Waterfront route, and to also serve the southern portion of the 70 and 71 routes.
79	Georgia Avenue Metro Extra Line	Limited Stop	Silver Spring station*	Archives station	Georgia Avenue NW, 7th Street NW (to Silver Spring), 9th Street NW (to Archives)	limited-stop service\nSilver Spring terminus is located on Wayne Avenue until completion of the Paul S. Sarbanes Transit Center	79 is a "reincarnation" of the old 73 (Brightwood Express Line) that was discontinued roughly a decade before the 79's introduction in 2006.\nSaturday service began on March 24, 2013.\nSunday service began on December 29, 2013.
80	North Capitol Street Line	Local	Fort Totten station	Kennedy Center	12th Street NE\nMichigan Avenue NE\nNorth Capitol Street\nH Street NW\nK Street NW	some peak hour and early AM/late night trips terminate at McPherson Square station	80 operates on the old North Capitol Street Streetcar Line, which operated from Washington Circle to Brookland until 1958\nIt operated to Potomac Park until it replaced the portion of the old Route 81 south of Pennsylvania Avenue NW to Kennedy Center after it was discontinued in the mid-1990s
90, 92, 93	U Street-Garfield Line	Local*	Duke Ellington Bridge or Frank D. Reeves Center (14th & U Streets NW)	90 Anacostia station\n92 Congress Heights station\n93 Congress Heights station	Calvert Street NW\nU Street NW, Florida Avenue NW/NE\n8th Street NE\nGood Hope Road SE (92)\nStanton Road SE (93)	93: operates when Metrorail is not open, replacing the 90 & 94\nFare: $1 (90 only, south of the 11th Street Bridge, unless transferring to another bus)	90 replaced all portions of the 94 north of Anacostia station which became the 94's northern terminal after it opened in 1991; 90, 92, and 93 served McLean Gardens from the mid-1990s to the mid-2000s until replaced by the 96.\nAlso see U Street Line, New Jersey Avenue Line and Florida Avenue Line
94	Stanton Road Line	Local*	Stanton Road (19th & Savannah Streets SE)	Anacostia station	Stanton Road SE	replaced by 93 (U Street-Garfield Line) when not in operation\nFare: $1 (unless transferring to another bus)	94 used to operate to Duke Ellington Bridge (as part of the U Street-Garfield Line) until Anacostia station opened in 1991; replaced by the 90 north of Anacostia since then.
96, 97	East Capitol Street-Cardozo Line	Local	Capitol Heights station	96 Tenleytown-AU station\n97 Union Station	East Capitol Street\nNew Jersey Avenue NW (96)\nU Street NW (96)\n29th Street NW (96)	96 operates between Stadium-Armory and Tenleytown-AU stations when the 97 operates during the weekday peak hours only\n97 skips DC General Health Campus.	Formerly known as the New Jersey Avenue Line\n96 & 97 replaced the old Routes 40 & 44 east of Union Station in the mid-1990s.\n96 extended from Duke Ellington Bridge to McLean Gardens in the mid-2000s, replacing the northwestern portion of the 90, 92, and 93.\n96 was extended to Tenleytown-AU station December 30, 2012.
A2, A6, A7, A8, A42, A46, A48	Anacostia-Congress Heights Line	Local*	Southern Avenue station (A2, A42)\nLivingston Rd & 3rd Street SE (A6, A8, A46, A48)\nSouthern Avenue & South Capitol Street, SE (A7)	Anacostia Station (A2, A6, A7, A8)\nArchives station (10th St & Pennsylvania Av NW) (A42, A46, A48)	Martin Luther King Avenue SE, Mississippi Av SE (A2, A42)\nWheeler Road SE (A6, A7, A46)\nSouth Capitol Street (A8, A48)	A7: weekday peak hour service only (AM to Anacostia, PM to Livingston Road)\nA42, A46 and A48 operate when Metrorail is closed, replacing A2, A6, A8 (respectively) and P2*Fare: $1 (unless transferring to another bus; A42, A46, A48: south of 11th Street Bridge)	Formerly known as the Anacostia Line (along with A4 & A5) until 1991\nA7 operated to L'Enfant Plaza station until Anacostia opened in 1991\nA42, A46 and A48 replaced the old portions of the A2, A6 and A8 north of Anacostia station to Archives when Anacostia opened
A4, W5	Anacostia-Fort Drum Line	Local*	D.C. Village (North Parking Lot)	Anacostia station\nSt. Elizabeth's Gate 4 (Coast Guard HQ)	Martin Luther King Avenue SE\nSouth Capitol Street	W5: weekday peak hour service only (AM to DC Village, PM to Anacostia via the Blue Plains Facility)\nFare: $1 (unless transferring to another bus)\nA4, W5 runs to St. Elizabeth's Gate 4 (Coast Guard HQ) to D.C. Village (North Parking Lot)Weekdays Only.	A4 and A5 operated to Archives station (as part of the Anacostia Line) until Anacostia opened in 1991\nThe route north of Anacostia is now served by P6\nThe A5 covered the A4 route but excluded Fort Drum. It was discontinued on March 24, 2013, replaced by the W5 which runs on South Capitol Street (SB) and DC-295 (NB).
A9	Martin Luther King Jr Ave MetroExtra Line	Limited Stop	Livingston Road & 3rd Street, SE	McPherson Square station (Franklin Square Entrance)	Martin Luther King Jr Ave	A9: weekday MetroExtra Peak Hour service only (AM to McPherson Square, PM to Livingston Road)\nLimited Stops Only	A9 is now a MetroExtra Bus service as of March 24, 2013.
