Title	Contents	Pages	Published	ISBN
Volume 1	"The Iron Legion" (issues 1–8)\n"City of the Damned" (issues 9–16)\n"Timeslip" (issues 17–18)\n"The Star Beast" (issues 19–26)	112	July 2008	ISBN 978-1-60010-189-2
Volume 2	"The Star Beast" (issue 26 only)\n"The Dogs of Doom" (issues 27–34)\n"The Time Witch" (issues 35–38)\n"Dragon’s Claw" (issues 39–45)\n"The Collector" (issue 46)\n"Dreamers of Death" (issues 47–48)	120	December 2008	ISBN 978-1-60010-289-9
Volume 3	"Changes" (issues 118–119)\n"Culture Shock!" (issue 139)\n"The World Shapers" (issues 127–129)\n"The Life Bringer" (issues 49–50)\n"War of the Worlds" (issue 51)\n"The Spider-God" (issue 52)\n"The Deal" (issue 53)\n"End of the Line" (issues 54–55)\n"The Freefall Warriors" (issues 56–57)	128	May 2009	ISBN 978-1-60010-425-1
Volume 4	"Junk-Yard Demon" (issues 58–59)\n"The Neutron Knights" (issue 60)\n"The Tides of Time" (issues 61–67)\n"Stars Fell on Stockbridge" (issues 68–69)\n"The Stockbridge Horror" (issues 70–75)	152	November 2009	ISBN 978-1-60010-534-0
Volume 5	"Lunar Lagoon" (issues 76–77)\n"4-Dimensional Vistas" (issues 78–83)\n"The Moderator" (issues 84, 86–87)\n"Skywatch-7" (issue 58)	104	March 2010	ISBN 978-1-60010-608-8
Volume 6	"The Shape Shifter" (issues 88–89)\n"Voyager, Parts 1–5" (issues 90–94)\n"Polly The Glot" (issues 95–97)\n"Once Upon A Time Lord" (issues 98–99)\n"War-Game, Parts 1 & 2" (issues 100–101)\n"Fun House" (issues 102–103)\n"Kane's Story" (issue 104)\n"Abel's Story" (issue 105)\n"The Warrior's Story" (issue 106)\n"Frobisher's Story" (issue 107)	148	December 2010	ISBN 978-1-60010-793-1
Volume 7	"A Cold Day in Hell!" (issues 130-133)\n"Redemption!" (issue 134)\n"The Crossroads of Time" (issue 135)\n"Claws of the Klathi!" (issues 136-138)\n"Keepsake" (issue 140)\n"Planet of the Dead" (issues 141-142)\n"Culture Shock!" (issue 139)\n"Echoes of the Morgor!" (issues 143-144)	128	September 2011	ISBN 978-1-61377-045-0
The Dave Gibbons Collection	The Iron Legion (issue 1-8)\nCity of the Damned (issue 9-16)\nThe Star Beast (issue 19-26)\nDogs of Doom (issue 27-34)\nThe Time Witch (issue 35-38)\nDragon’s Claw (issue 39-45)\nThe Collector (issue 46)\nDreamers of Death (issue 47-48)\nThe Life Bringer! (issue 49-50)\nThe War of Words (issue 51)\nSpider-God (issue 52)\nThe Deal (issue 53)\nEnd of the Line (issue 54-55)\nThe Freefall Warriors (issue 56-57)\nThe Neutron Knights (issue 60)\nThe Tides of Time (issue 61-67)\nStars Fell on Stockbridge (issue 68-69)	372	December 2011	ISBN 978-1-61377-063-4
Volume 8	"Exodus" (issue 108)\n"Revelation" (issue 109)\n"Genesis" (issue 110)\n"Nature Of The Beast" (issue 111-113)\n"Time Bomb" (issue 114-116)\n"Salad Daze" (issue 117)\n"Changes" (issue 118-119)\n"Profits Of Doom" (issue 120-122)\n"The Gift" (issue 123-126)	152	23 October 2012	ISBN 978-161377484-7
Volume 9	"Time And Tide" (issues 145-146)\n"Follow That TARDIS!" (issue 147)\n"Invaders From Gantac" (issues 148-150)\n"Nemesis Of The Daleks" (issues 152-155)\n"Stairway To Heaven" (issue 156)\n"Hunger From The Ends Of Time" (issues 157-158)\n"Train-Flight" (issues 159-161)	140	December 2013	ISBN 978-161377806-7
Omnibus 1	Collects volumes 1, 2 & 3	356	April 2010	ISBN 978-1-60010-622-4
Omnibus 2	Collects volumes 4, 5 & 6	400	September 2011	ISBN 978-1-60010-998-0
Omnibus 3	Collects volumes 7, 8 & 9	TBC	2014 TBC	ISBN TBC
