"Year","Award","Category","Film","Result"
"2009","Anandalok Awards","Anandalok Awards for Best Actor","Challenge","Won"
"2009","Anandalok Awards","Anandalok Awards for Best Action Hero","Challenge","Won"
"2010","Star Jalsha Entertainment Awards 2010","Star Jalsha Entertainment Awards 2010 for Best Actor","Poran Jaye Jolia Re","Won"
"2010","Star Jalsha Entertainment Awards 2010","Star Jalsha Entertainment Awards 2010 for Best Actor","Dujone","Nominated"
"2010","Tele Cine Awards 2010","Tele Cine Awards 2010 for Best Actor","Challenge","Won"
"2010","Kalakar Awards 2010","Kalakar Awards 2010 for Best Actor","Challenge","Won"
"2010","Star Ananda Shera Bangali awards 2010","STAR Ananda Shera notun Protibha Award","","Won"
"2010","Anandalok Awards 2010","Anandalok Awards 2010 for Best Actor (Male)","Le Chakka","Won"
"2011","Big Bangla Movie Awards 2011","Big Bangla Movie Awards 2011 for Best Actor of the decade","","Won"
"2011","Anandalok Awards","Anandalok Awards for Best Actor","Paglu","Nominated"
"2011","Star Jalsha Entertainment Awards 2011","Star Jalsha Entertainment Awards 2011 for Best Dancing Sensation","","Won"
"2011","Zee Bangla Awards 2011","Zee Bangla Awards 2011 for Best Actor","Le Chakka","Nominated"
"2012","Star Guide Bengali film Awards 2012","Star Guide Bengali film Awards 2012 for Best Actor","Paglu","Won"
"2012","Anandalok Awards 2012","Anandalok Awards 2012 for Best Actor (Male)","Paglu 2","Nominated"
"2012","Zee Bangla Awards 2012","Zee Bangla Awards 2012 for Best Actor","Khokababu","Won"
"2012","12th Tele Cine Awards 2012","12th Tele Cine Awards 2012 for Best Actor","Paglu","Won"
"2012","Kalakar Awards 2012","Kalakar Awards 2012 for Best Actor","Paglu","Won"
"2013","13th Tele Cine Awards 2013","13th Tele Cine Awards 2013 for Best Actor","Challenge 2","Nominated"
"2013","Star Jalsha Entertainment Awards 2013","Star Jalsha Entertainment Awards 2013 for Best Dancing Sensation","","Won"
"2013","Star Jalsha Entertainment Awards 2013","Star Jalsha Entertainment Awards 2013 for Best Debut Singing","Khokababu","Won"
"2014","Most Desirable Tollywood Actor 2014 (Public Poll)","Best Actor","Khoka 420,Rangbaaz and Chander Pahar[8]","Won"
"2014","Tollywood National Award 2014","Best Actor","Chander Pahar","Won"
"2014","Tollywood National Award 2014","Best Romantic Hero","Khoka 420","Nominated"
"2014","Tollywood National Award 2014","Best Action Hero","Rangbaaz","Won"
"2014","Kalakar Awards 2014","Kalakar Awards 2014 for Best Actor","Rangbaaz and Chander Pahar","Won"
"2014","BFJA Award For Best Actor 2014","BFJA Award For Best Actor Best Actor","Chander Pahar","Won"
"2014","Zee Bangla Gourab Somman Awards 2014","Best Actor","Chander Pahar","Won"
"2014","Anandalok Awards","Best Actor","Chander Pahar","Won"
"2014","Zee Bangla Gourab Somman Awards 2014","Best Dancing Sensation","","Won"
"2014","Filmfare Awards East","Global East People's Choice Filmfare Award","","Won"
"2014","14th Tele Cine Awards 2014","14th Tele Cine Awards for Best Actor","Chander Pahar","Pending"
"2014","14th Tele Cine Awards 2014","14th Tele Cine Awards for Best Jodi (Dev-Koel)","Rangbaaz","Pending"
