id	utterance	context	targetValue
ns-0	how long did grand blanc high school participate for?	csv/203-csv/591.csv	10 years
ns-1	who was the first person to receive the award?	csv/204-csv/655.csv	Che Fu
ns-2	what was the final opponent before the world bowl?	csv/204-csv/123.csv	Amsterdam Admirals
ns-3	which team had the most transfers away?	csv/203-csv/440.csv	Heerenveen
ns-4	how many teams have not won a single title?	csv/203-csv/664.csv	4
ns-5	what was the last single to be released?	csv/203-csv/745.csv	Hello, Dolly! / He's Got the Whole World in His Hands (w. Liza Minnelli)
ns-6	how many companies are there?	csv/204-csv/77.csv	7
ns-7	what is the number of days that edmund barton served?	csv/204-csv/812.csv	996 days
ns-8	what is the number of counties with a population in 2009 higher than 500,000?	csv/204-csv/778.csv	3
ns-9	which district has the lowest percent of the total area size?	csv/200-csv/33.csv	Yamato highland
ns-10	which schools have at least 40 finals appearances?	csv/203-csv/362.csv	Methodist College Belfast|Royal Belfast Academical Institution
ns-11	what is the number of locomotives that entered service in 1983?	csv/204-csv/816.csv	6
ns-12	what year did she act in the most movies?	csv/202-csv/74.csv	2000
ns-13	which episode only aired on july 6th, 2010?	csv/204-csv/997.csv	"Marion the Young Lover"
ns-14	how many more total medals did japan win compared to iraq?	csv/204-csv/183.csv	32
ns-15	the total number of wildcat wins	csv/204-csv/168.csv	7
ns-16	how many total runs were scored by the opposing teams during this period?	csv/203-csv/240.csv	34
ns-17	what club placed in the last position?	csv/204-csv/256.csv	CD Ourense
ns-18	how many more medals does japan have than iran?	csv/203-csv/747.csv	19
ns-19	which performer was last in the series?	csv/203-csv/784.csv	Natasha Leggero
ns-20	how many districts are democratic?	csv/204-csv/699.csv	24
ns-21	which is has the larger area, ruyi or shaoshan?	csv/204-csv/891.csv	Shaoshan
ns-22	what color represents the least free countries?	csv/204-csv/437.csv	Pink
ns-23	in what year did babin have the least amount of tackles?	csv/203-csv/258.csv	2008
ns-24	what municipality has the most people?	csv/204-csv/359.csv	Puerto Villarroel Municipality
ns-25	what is the number of competitions listed in the table?	csv/203-csv/269.csv	3
ns-26	who earned more money, fay crocker or mickey wright?	csv/204-csv/355.csv	Mickey Wright
ns-27	how many losses during the season?	csv/203-csv/730.csv	7
ns-28	who was his first partner?	csv/204-csv/196.csv	John Newcombe
ns-29	who came out on top for the championship?	csv/203-csv/187.csv	Independent
ns-30	what team is represented the most?	csv/204-csv/329.csv	West Indies
ns-31	what was the last sunken ship with a tonnage exceeding 9000?	csv/203-csv/268.csv	Sun
ns-32	between 1990 and 2004, how many years did japan have a negative inflation rate?	csv/202-csv/28.csv	9
ns-33	how many total counties are in rank 14?	csv/204-csv/525.csv	7
ns-34	what is the total number of points scored by all scorers from france?	csv/204-csv/663.csv	75
ns-35	which winner traveled the least amount of distance in the marlboro tour?	csv/204-csv/694.csv	Jacinto Sicam
ns-36	what is the last ranked country?	csv/204-csv/551.csv	Switzerland
ns-37	who is above and below don cherry on the list?	csv/204-csv/665.csv	Sir John A. Macdonald|Lester B. Pearson
ns-38	how many shelters does the al-qusayr military airbase have?	csv/204-csv/102.csv	16
ns-39	did laurens place 1st in 1991 or 1992	csv/204-csv/759.csv	1992
ns-40	how many films were made in 2008?	csv/203-csv/451.csv	5
ns-41	what film did ishaan dev give a song to, immediately after "ringtone" in 2010?	csv/204-csv/546.csv	"Thriller
ns-42	which lower mississippi period came before the tchefuncte culture?	csv/203-csv/645.csv	Jaketown
ns-43	which club has their points as 84?	csv/203-csv/322.csv	USA Perpignan
ns-44	cork north-central and cork north-west were both a constituency during what year?	csv/203-csv/627.csv	1981
ns-45	how many pylons were built before 1970?	csv/203-csv/375.csv	7
ns-46	which is the only year that the grand total in volume was under 10,000 thousand tons?	csv/204-csv/666.csv	2007/08
ns-47	what was the first year he scored more than 4 touchdowns	csv/203-csv/597.csv	2007
ns-48	besides the mlu001 what was the other three-car train set?	csv/204-csv/821.csv	MLX01
ns-49	who got the most penalties?	csv/204-csv/664.csv	Stefan Gavrila
ns-50	which nation has the next to highest gold medal?	csv/204-csv/248.csv	South Korea
ns-51	tell me the convention in 2000 that only had 200 in attendance.	csv/204-csv/991.csv	J-Popcon
ns-52	what is the difference in length between track 8 and track 5?	csv/203-csv/267.csv	2:47
ns-53	what are the total number of times mutual consent is listed as the manner of departure?	csv/203-csv/156.csv	6
ns-54	which state had 11 candidates and 117 seats in assembly?	csv/203-csv/562.csv	Punjab
ns-55	what is the next tallest mountain after annapurna ii	csv/204-csv/570.csv	Gasherbrum IV
ns-56	what is the name of the tallest constant?	csv/204-csv/144.csv	Michelle Krisko Sugasti
ns-57	which two countries both took home 2 gold metals?	csv/203-csv/612.csv	Cook Islands|Wallis and Futuna
ns-58	what driver was disqualified before the race ended?	csv/204-csv/584.csv	John Watson
ns-59	who had the same nationality as maja ivarsson?	csv/203-csv/449.csv	Håkan Isacson
ns-60	what are the total number of competitions played in november?	csv/203-csv/6.csv	2
ns-61	what theatre has the most consecutive titles?	csv/204-csv/104.csv	Venice, Teatro S Cassiano
ns-62	how many dates had a result other than "l"	csv/204-csv/858.csv	7
ns-63	how many albums had he released before 2014?	csv/204-csv/243.csv	7
ns-64	what was the first single to be under the regal zonophone label?	csv/204-csv/672.csv	"The Banner Man"
ns-65	what two names are next to operation that is under name of trial?	csv/204-csv/628.csv	Phina|Jason
ns-66	how many champions are listed?	csv/204-csv/764.csv	6
ns-67	the least year	csv/203-csv/710.csv	1990
ns-68	which game had the greatest attendance?	csv/203-csv/118.csv	13
ns-69	what is the difference in the number of gold medals between france and scotland?	csv/203-csv/314.csv	1
