id	utterance	context	targetValue
nt-0	what was the last year where this team was a part of the usl a-league?	csv/204-csv/590.csv	2004
nt-1	in what city did piotr's last 1st place finish occur?	csv/204-csv/622.csv	Bangkok, Thailand
nt-2	which team won previous to crettyard?	csv/204-csv/772.csv	Wolfe Tones
nt-3	how many more passengers flew to los angeles than to saskatoon from manzanillo airport in 2013?	csv/203-csv/515.csv	12,467
nt-4	who was the opponent in the first game of the season?	csv/204-csv/495.csv	Derby County
nt-5	how many people stayed at least 3 years in office?	csv/203-csv/705.csv	4
nt-6	who is the first away team on the chart	csv/204-csv/361.csv	Varbergs GIF
nt-8	after winning on four credits with a full house, what is your payout?	csv/203-csv/564.csv	32
nt-9	which players played the same position as ardo kreek?	csv/203-csv/116.csv	Siim Ennemuist|Andri Aganits
nt-10	how many times did an italian cyclist win a round?	csv/204-csv/253.csv	6
nt-11	what was the first venue for the asian games?	csv/203-csv/646.csv	Bangkok, Thailand
nt-12	what is the difference in the number of temples between imabari and matsuyama?	csv/204-csv/841.csv	2
nt-13	what was the only year keene won class aa?	csv/204-csv/133.csv	1999-2000
nt-14	which athlete was from south korea after the year 2010?	csv/203-csv/104.csv	Kim Yu-na
nt-16	how many total points did the bombers score against the bc lions?	csv/204-csv/227.csv	58
nt-17	which is the first city listed alphabetically?	csv/204-csv/299.csv	Abbott
nt-18	how many movies have links to other wikipedia pages about them?	csv/201-csv/21.csv	20
nt-19	in how many games did the winning team score more than 4 points?	csv/204-csv/475.csv	3
nt-20	which album released by the band schnell fenster produced the most singles appearing on the australian peak chart?	csv/202-csv/184.csv	The Sound Of Trees
nt-21	which model has the most in service?	csv/204-csv/430.csv	KM-45 Series
nt-23	what counties had the least participants for the race?	csv/204-csv/849.csv	Morocco|France|Spain
nt-24	who ranked right after turkey?	csv/203-csv/812.csv	Sweden
nt-25	what's the number of parishes founded in the 1800s?	csv/203-csv/36.csv	4
nt-26	what club scored the only a total of 79 points?	csv/204-csv/256.csv	Málaga CF
nt-27	in 1996 the sc house of representatives had a republican majority. how many years had passed since the last time this happened?	csv/203-csv/95.csv	122
nt-28	which kind of computer can most of the games be played on?	csv/203-csv/580.csv	Windows
nt-30	what was the average number of years served by a coach?	csv/203-csv/577.csv	4
nt-31	how many beta versions were released before the first full release?	csv/203-csv/743.csv	9
nt-32	which name is first on the chart	csv/204-csv/873.csv	Jiang Qing
nt-33	what is the last constellation featured on this table?	csv/203-csv/569.csv	Draco
nt-35	who is the other person who is 24 years old besides reyna royo?	csv/204-csv/144.csv	Marisela Moreno Montero
nt-36	who was the top winner in 2002 of the division 1 undergraduate?	csv/204-csv/879.csv	Princeton
nt-37	what is the total amount of processors that have both an integrated color display and an enhanced keyboard?	csv/203-csv/136.csv	4
nt-39	how many finished all 225 laps?	csv/204-csv/946.csv	8
nt-41	in what year did miss pokhara last win the miss nepal award?	csv/204-csv/172.csv	1997
nt-42	what is the total number of popular votes cast in 2003?	csv/203-csv/558.csv	459,640
nt-43	which division three team also played in the division two season during the 1980s?	csv/202-csv/73.csv	Seaford Town
nt-44	what is the difference in league debut date between farrell and carne?	csv/204-csv/387.csv	1
nt-45	what film was released before "devakanya?"	csv/204-csv/961.csv	Dhaasippen or Jothi Malar
