id	utterance	context	targetValue
nt-0	what was the last year where this team was a part of the usl a-league?	csv/204-csv/590.csv	2004
nt-1	in what city did piotr's last 1st place finish occur?	csv/204-csv/622.csv	Bangkok, Thailand
nt-2	which team won previous to crettyard?	csv/204-csv/772.csv	Wolfe Tones
nt-3	how many more passengers flew to los angeles than to saskatoon from manzanillo airport in 2013?	csv/203-csv/515.csv	12,467
nt-4	who was the opponent in the first game of the season?	csv/204-csv/495.csv	Derby County
nt-5	how many people stayed at least 3 years in office?	csv/203-csv/705.csv	4
nt-6	who is the first away team on the chart	csv/204-csv/361.csv	Varbergs GIF
nt-7	which is deeper, lake tuz or lake palas tuzla?	csv/204-csv/341.csv	Lake Palas Tuzla
nt-8	after winning on four credits with a full house, what is your payout?	csv/203-csv/564.csv	32
nt-9	which players played the same position as ardo kreek?	csv/203-csv/116.csv	Siim Ennemuist|Andri Aganits
nt-10	how many times did an italian cyclist win a round?	csv/204-csv/253.csv	6
nt-11	what was the first venue for the asian games?	csv/203-csv/646.csv	Bangkok, Thailand
nt-12	what is the difference in the number of temples between imabari and matsuyama?	csv/204-csv/841.csv	2
nt-13	what was the only year keene won class aa?	csv/204-csv/133.csv	1999-2000
nt-14	which athlete was from south korea after the year 2010?	csv/203-csv/104.csv	Kim Yu-na
nt-15	what was the venue when he placed first?	csv/204-csv/706.csv	New Delhi, India
nt-16	how many total points did the bombers score against the bc lions?	csv/204-csv/227.csv	58
nt-17	which is the first city listed alphabetically?	csv/204-csv/299.csv	Abbott
nt-18	how many movies have links to other wikipedia pages about them?	csv/201-csv/21.csv	20
nt-19	in how many games did the winning team score more than 4 points?	csv/204-csv/475.csv	3
nt-20	which album released by the band schnell fenster produced the most singles appearing on the australian peak chart?	csv/202-csv/184.csv	The Sound Of Trees
nt-21	which model has the most in service?	csv/204-csv/430.csv	KM-45 Series
nt-22	which ship in auckland had the fastest speed in knots?	csv/203-csv/774.csv	Manawanui i
nt-23	what counties had the least participants for the race?	csv/204-csv/849.csv	Morocco|France|Spain
nt-24	who ranked right after turkey?	csv/203-csv/812.csv	Sweden
nt-25	what's the number of parishes founded in the 1800s?	csv/203-csv/36.csv	4
nt-26	what club scored the only a total of 79 points?	csv/204-csv/256.csv	Málaga CF
nt-27	in 1996 the sc house of representatives had a republican majority. how many years had passed since the last time this happened?	csv/203-csv/95.csv	122
nt-28	which kind of computer can most of the games be played on?	csv/203-csv/580.csv	Windows
nt-29	what is the total population in dzhebariki-khaya?	csv/204-csv/6.csv	1694
nt-30	what was the average number of years served by a coach?	csv/203-csv/577.csv	4
nt-31	how many beta versions were released before the first full release?	csv/203-csv/743.csv	9
nt-32	which name is first on the chart	csv/204-csv/873.csv	Jiang Qing
nt-33	what is the last constellation featured on this table?	csv/203-csv/569.csv	Draco
nt-34	who was the top ranked competitor in this race?	csv/204-csv/552.csv	Iryna Shpylova
nt-35	who is the other person who is 24 years old besides reyna royo?	csv/204-csv/144.csv	Marisela Moreno Montero
nt-36	who was the top winner in 2002 of the division 1 undergraduate?	csv/204-csv/879.csv	Princeton
nt-37	what is the total amount of processors that have both an integrated color display and an enhanced keyboard?	csv/203-csv/136.csv	4
