id	utterance	context	targetValue
nt-0	what was the last year where this team was a part of the usl a-league?	204-590.csv	2004
nt-1	in what city did piotr's last 1st place finish occur?	204-622.csv	Bangkok, Thailand
nt-2	which team won previous to crettyard?	204-772.csv	Wolfe Tones
nt-3	how many more passengers flew to los angeles than to saskatoon from manzanillo airport in 2013?	203-515.csv	12,467
nt-4	who was the opponent in the first game of the season?	204-495.csv	Derby County
nt-5	how many people stayed at least 3 years in office?	203-705.csv	4
nt-6	who is the first away team on the chart	204-361.csv	Varbergs GIF
nt-7	which is deeper, lake tuz or lake palas tuzla?	204-341.csv	Lake Palas Tuzla
nt-8	after winning on four credits with a full house, what is your payout?	203-564.csv	32
nt-9	which players played the same position as ardo kreek?	203-116.csv	Siim Ennemuist|Andri Aganits
nt-10	how many times did an italian cyclist win a round?	204-253.csv	6
nt-11	what was the first venue for the asian games?	203-646.csv	Bangkok, Thailand
nt-12	what is the difference in the number of temples between imabari and matsuyama?	204-841.csv	2
nt-13	what was the only year keene won class aa?	204-133.csv	1999-2000
nt-14	which athlete was from south korea after the year 2010?	203-104.csv	Kim Yu-na
nt-15	what was the venue when he placed first?	204-706.csv	New Delhi, India
nt-16	how many total points did the bombers score against the bc lions?	204-227.csv	58
nt-17	which is the first city listed alphabetically?	204-299.csv	Abbott
nt-18	how many movies have links to other wikipedia pages about them?	201-21.csv	20
nt-19	in how many games did the winning team score more than 4 points?	204-475.csv	3
nt-20	which album released by the band schnell fenster produced the most singles appearing on the australian peak chart?	202-184.csv	The Sound Of Trees
nt-21	which model has the most in service?	204-430.csv	KM-45 Series
nt-22	which ship in auckland had the fastest speed in knots?	203-774.csv	Manawanui i
nt-23	what counties had the least participants for the race?	204-849.csv	Morocco|France|Spain
nt-24	who ranked right after turkey?	203-812.csv	Sweden
nt-25	what's the number of parishes founded in the 1800s?	203-36.csv	4
nt-26	what club scored the only a total of 79 points?	204-256.csv	Málaga CF
nt-27	in 1996 the sc house of representatives had a republican majority. how many years had passed since the last time this happened?	203-95.csv	122
nt-28	which kind of computer can most of the games be played on?	203-580.csv	Windows
nt-29	what is the total population in dzhebariki-khaya?	204-6.csv	1694
nt-30	what was the average number of years served by a coach?	203-577.csv	4
nt-31	how many beta versions were released before the first full release?	203-743.csv	9
nt-32	which name is first on the chart	204-873.csv	Jiang Qing
nt-33	what is the last constellation featured on this table?	203-569.csv	Draco
nt-34	who was the top ranked competitor in this race?	204-552.csv	Iryna Shpylova
nt-35	who is the other person who is 24 years old besides reyna royo?	204-144.csv	Marisela Moreno Montero
nt-36	who was the top winner in 2002 of the division 1 undergraduate?	204-879.csv	Princeton
nt-37	what is the total amount of processors that have both an integrated color display and an enhanced keyboard?	203-136.csv	4
nt-38	how many consecutive friendly competitions did chalupny score in?	204-920.csv	2
nt-39	how many finished all 225 laps?	204-946.csv	8
nt-40	what was the number of silver medals won by ukraine?	203-175.csv	2
nt-41	in what year did miss pokhara last win the miss nepal award?	204-172.csv	1997
nt-42	what is the total number of popular votes cast in 2003?	203-558.csv	459,640
nt-43	which division three team also played in the division two season during the 1980s?	202-73.csv	Seaford Town
nt-44	what is the difference in league debut date between farrell and carne?	204-387.csv	1
nt-45	what film was released before "devakanya?"	204-961.csv	Dhaasippen or Jothi Malar
nt-46	what is the largest penalty?	204-664.csv	10
nt-47	who has the most and best score?	204-363.csv	Shane Carwin
nt-48	what is the current total number of seats in the federal parliament?	203-698.csv	630
nt-49	what number of games did new zealand win in 2010?	203-634.csv	3
