id	utterance	context	targetValue
nt-2	which team won previous to crettyard?	csv/204-csv/772.csv	Wolfe Tones
nt-3	how many more passengers flew to los angeles than to saskatoon from manzanillo airport in 2013?	csv/203-csv/515.csv	12,467
nt-4	who was the opponent in the first game of the season?	csv/204-csv/495.csv	Derby County
nt-6	who is the first away team on the chart	csv/204-csv/361.csv	Varbergs GIF
nt-7	which is deeper, lake tuz or lake palas tuzla?	csv/204-csv/341.csv	Lake Palas Tuzla
nt-8	after winning on four credits with a full house, what is your payout?	csv/203-csv/564.csv	32
nt-9	which players played the same position as ardo kreek?	csv/203-csv/116.csv	Siim Ennemuist|Andri Aganits
nt-10	how many times did an italian cyclist win a round?	csv/204-csv/253.csv	6
nt-11	what was the first venue for the asian games?	csv/203-csv/646.csv	Bangkok, Thailand
nt-12	what is the difference in the number of temples between imabari and matsuyama?	csv/204-csv/841.csv	2
nt-13	what was the only year keene won class aa?	csv/204-csv/133.csv	1999-2000
nt-14	which athlete was from south korea after the year 2010?	csv/203-csv/104.csv	Kim Yu-na
nt-15	what was the venue when he placed first?	csv/204-csv/706.csv	New Delhi, India
nt-16	how many total points did the bombers score against the bc lions?	csv/204-csv/227.csv	58
nt-17	which is the first city listed alphabetically?	csv/204-csv/299.csv	Abbott
nt-19	in how many games did the winning team score more than 4 points?	csv/204-csv/475.csv	3
nt-20	which album released by the band schnell fenster produced the most singles appearing on the australian peak chart?	csv/202-csv/184.csv	The Sound Of Trees
nt-22	which ship in auckland had the fastest speed in knots?	csv/203-csv/774.csv	Manawanui i
nt-24	who ranked right after turkey?	csv/203-csv/812.csv	Sweden
nt-25	what's the number of parishes founded in the 1800s?	csv/203-csv/36.csv	4
nt-26	what club scored the only a total of 79 points?	csv/204-csv/256.csv	Málaga CF
nt-27	in 1996 the sc house of representatives had a republican majority. how many years had passed since the last time this happened?	csv/203-csv/95.csv	122
nt-29	what is the total population in dzhebariki-khaya?	csv/204-csv/6.csv	1694
nt-30	what was the average number of years served by a coach?	csv/203-csv/577.csv	4
nt-31	how many beta versions were released before the first full release?	csv/203-csv/743.csv	9
nt-32	which name is first on the chart	csv/204-csv/873.csv	Jiang Qing
nt-33	what is the last constellation featured on this table?	csv/203-csv/569.csv	Draco
nt-35	who is the other person who is 24 years old besides reyna royo?	csv/204-csv/144.csv	Marisela Moreno Montero
nt-36	who was the top winner in 2002 of the division 1 undergraduate?	csv/204-csv/879.csv	Princeton
nt-37	what is the total amount of processors that have both an integrated color display and an enhanced keyboard?	csv/203-csv/136.csv	4
nt-38	how many consecutive friendly competitions did chalupny score in?	csv/204-csv/920.csv	2
nt-39	how many finished all 225 laps?	csv/204-csv/946.csv	8
nt-41	in what year did miss pokhara last win the miss nepal award?	csv/204-csv/172.csv	1997
nt-42	what is the total number of popular votes cast in 2003?	csv/203-csv/558.csv	459,640
nt-45	what film was released before "devakanya?"	csv/204-csv/961.csv	Dhaasippen or Jothi Malar
nt-46	what is the largest penalty?	csv/204-csv/664.csv	10
nt-48	what is the current total number of seats in the federal parliament?	csv/203-csv/698.csv	630
nt-49	what number of games did new zealand win in 2010?	csv/203-csv/634.csv	3
nt-51	how many competitions had a score of 1-0 at most?	csv/203-csv/652.csv	4
nt-52	which club had the most losses?	csv/203-csv/322.csv	RC Toulonnais
nt-53	what is the total number of pylons listed?	csv/203-csv/375.csv	17
nt-54	does theodis or david play center?	csv/204-csv/847.csv	Theodis Tarver
nt-55	what was whitney's best year for her album whitney in which she won the most rewards?	csv/203-csv/799.csv	1987
nt-56	which member of the 500 club has the least amount of home runs?	csv/203-csv/611.csv	Eddie Murray
nt-57	how many miss northern ireland winners have made it to the top 30 placement at miss world since 2000?	csv/203-csv/727.csv	4
nt-58	how many games did at least 1500 people attend?	csv/204-csv/615.csv	11
nt-59	what is the next model listed after disk'o?	csv/203-csv/873.csv	Surf's Up
nt-60	how many matches were in may 2010?	csv/204-csv/260.csv	2
nt-61	what is the total amount of senators i all departments?	csv/204-csv/246.csv	36
nt-62	who directed the film rajanna?	csv/203-csv/393.csv	Vijayendra Prasad
nt-63	is the are of saint helena more than that of nightingale island?	csv/204-csv/332.csv	yes
nt-65	which alumni in the 1990's has the least number of international caps?	csv/203-csv/312.csv	Clint Bolton
nt-66	what title is at the top of the table?	csv/203-csv/570.csv	The Name of the Game
nt-67	what is the number of tv shows that charmaine sheh has appeared on?	csv/203-csv/631.csv	9
nt-68	amazon is at the top of the chart, but what is the name below it?	csv/204-csv/568.csv	Antelope
nt-70	how long was joseph black a coach?	csv/203-csv/577.csv	1 year
nt-71	which month were the least amount of games held in?	csv/203-csv/470.csv	April
nt-72	what is the number of formula one series races that cochet has been in?	csv/203-csv/198.csv	2
nt-73	how many matches took place in the first premier?	csv/203-csv/246.csv	27
nt-74	which driver appears the most?	csv/203-csv/367.csv	Jim Clark
nt-75	how many places list no zip code in either the lower or upper zip code?	csv/204-csv/356.csv	18
nt-76	how many populations at most have any notes?	csv/204-csv/891.csv	0
nt-78	what is the most compilation albums released in one year?	csv/204-csv/471.csv	4
nt-79	what are the number of times antonov is listed as the manufacturer?	csv/203-csv/601.csv	8
nt-80	has the dominican republic won more or less medals than china?	csv/203-csv/535.csv	less
nt-83	which ethnicity is previous from dungan	csv/204-csv/984.csv	Belorussian
nt-84	which year had the most titles released?	csv/204-csv/643.csv	2005
nt-85	name someone else from scotland inducted before alan brazil.	csv/204-csv/650.csv	George Burley
nt-87	who was the only judge appointed by mckinley?	csv/203-csv/563.csv	David Davie Shelby
nt-90	who is the only person to score in the march 6 game against videoton this season?	csv/204-csv/605.csv	Stapleton
nt-91	how many songs charted above the 10th position on any chart?	csv/204-csv/654.csv	3
nt-92	who was the first to take office?	csv/204-csv/668.csv	Jaafar Mohamed
nt-94	what is the next event after hardcore tv #15?	csv/204-csv/23.csv	Hardcore TV #21
nt-95	how long was the race in the all-africa games (distance)?	csv/203-csv/189.csv	10,000 m
nt-96	how many towns have a population higher than 1000?	csv/203-csv/568.csv	9
nt-97	which rifle has the longest barrel?	csv/204-csv/343.csv	Rifle 1889
nt-98	how many received a gold or silver medal in cycling?	csv/203-csv/4.csv	6
nt-99	how many elections had at least a 0.2 percentage of constituency votes?	csv/203-csv/698.csv	9
nt-100	what is the least number of concerts given in a season	csv/203-csv/288.csv	9
nt-101	name the countries with the least amount if silver medals?	csv/203-csv/314.csv	Belgium|Hungary|Netherlands|Spain|Czechoslovakia|Italy|Denmark
nt-102	other than ulm, what is the name of the other imperial city listed?	csv/203-csv/190.csv	Überlingen
nt-103	at the women's 200 meter individual medley sm10 event at the 2012 summer paralympics, how long did it take aurelie rivard to finish?	csv/204-csv/422.csv	2:37.70
nt-104	which composer produced his title after 2001?	csv/204-csv/969.csv	Pete Doherty
nt-106	other than parry, name an athlete from wales.	csv/204-csv/575.csv	Darren Jones
nt-107	which player ranked the most?	csv/204-csv/952.csv	Nicky English
nt-108	what are the number of times model 25 is listed on this chart?	csv/203-csv/136.csv	8
nt-109	how many total points did russia win in this competition?	csv/204-csv/809.csv	119
nt-110	what style was the chateau de brissac rebuilt in after it was damaged during the french wars of religion?	csv/204-csv/806.csv	baroque style
nt-112	what is the first airbase listed on the chart?	csv/204-csv/102.csv	Abu al-Duhur Military Airbase
nt-113	which university has the least in endowment?	csv/203-csv/592.csv	Brown University
nt-115	who was the next ranked competitor after dior delophont and ligia grozav?	csv/204-csv/741.csv	Iryna Herashchenko
nt-117	what year was the first to reach 1,000 or more live births?	csv/203-csv/668.csv	1985
nt-119	how many defensive (df) players are there on the national team?	csv/203-csv/121.csv	4
nt-121	what property comes before tensile elongation?	csv/204-csv/229.csv	Tensile Modulus
nt-122	the team's record in 2011 was the same was it's record in what year	csv/204-csv/32.csv	2009
nt-123	which district has the greatest total number of electorates?	csv/204-csv/255.csv	Tikamgarh
nt-124	how many times has germany won bronze?	csv/203-csv/554.csv	2
nt-125	list two pylons that are at most, 80 m in height.	csv/203-csv/375.csv	Mittersill goods aerial tramway|Singapore cable car
nt-126	what two teams only have two titles?	csv/203-csv/502.csv	Western Michigan|North Dakota
nt-127	what is the name of the first club on this chart?	csv/203-csv/145.csv	UE Lleida
nt-128	in 2008 in track and field events who broke more world records, usain bolt or haile gebrselassie?	csv/203-csv/102.csv	Usain Bolt
nt-129	which election was the first to reach over 40% of the popular vote?	csv/203-csv/558.csv	2003
nt-130	why type of genre was peter maxwell davies' work that was the same as emil petrovics'	csv/204-csv/969.csv	ballet
nt-132	what is the difference (in years) between when the royal blue began and the year the crusader began?	csv/204-csv/336.csv	47
nt-133	what are the number of years maine has participated?	csv/203-csv/502.csv	1
nt-134	what is the last iec world plugs type in the list?	csv/204-csv/794.csv	N
nt-135	what is the least number of meters habte jifar has run?	csv/203-csv/189.csv	5,000 m
nt-136	how many times, total, was the result "won"	csv/204-csv/948.csv	24
nt-137	what country had the least gdp growth from 2007-2011?	csv/203-csv/296.csv	Zimbabwe
nt-138	in which country did thierry tulasne win his last singles title?	csv/203-csv/60.csv	Switzerland
nt-139	what was the last event held?	csv/204-csv/413.csv	Men's 25 m rapid fire pistol
nt-140	what was the first award he was nominated for?	csv/203-csv/643.csv	Black Reel Awards
nt-141	what is the number of games the senators have played?	csv/203-csv/517.csv	18
nt-142	what was the first team that toronto lost to?	csv/204-csv/557.csv	Toronto 228th Battalion
nt-144	what was the best position achieved at the olympic games after the 1996 atlanta games?	csv/203-csv/646.csv	11th
nt-145	how many academy awards have been won posthumously?	csv/203-csv/17.csv	16
nt-146	number of goals manchester united scored against preston north end in the season	csv/204-csv/467.csv	3
nt-148	who received the least amount of votes?	csv/204-csv/786.csv	Karen Olsson
nt-150	funningsfjørður and fuglafjørður are located on the same island as...?	csv/203-csv/568.csv	Funningur
nt-151	which province in andalusia has the largest population?	csv/203-csv/3.csv	Seville
nt-153	the total number of helipads at hama military airport?	csv/204-csv/102.csv	10
nt-154	what are the only species with 99% sequence identity?	csv/204-csv/358.csv	Pan troglodytes|Nomascus leucogenys
nt-155	what was the month and year when the rutgers-eagleton poll first showed 50 percent in favor of same-sex marriage in new jersey?	csv/203-csv/43.csv	November 2009
nt-156	how many times did the home team have a score of only one against the away team?	csv/204-csv/475.csv	4
nt-157	other than lake ercek, name a lake in van.	csv/204-csv/341.csv	Lake Van
nt-158	which mountain peak has a prominence more than 10,000 ft?	csv/204-csv/25.csv	Mount Whitney
nt-159	how many mines were in temagami?	csv/204-csv/944.csv	10
nt-160	how many gold medals did this country win during these olympics?	csv/204-csv/884.csv	10
nt-162	how many audio versions are less than five minutes long?	csv/204-csv/804.csv	3
nt-163	who was the top scorer after sukhrob nematov?	csv/204-csv/357.csv	Vokhid Shodiev
nt-164	how many articles were published in the 6th volume?	csv/204-csv/843.csv	3,108
nt-165	what is the total number of awards the lion king has won?	csv/204-csv/592.csv	15
