game#date#team#score#high points#high rebounds#high assists#location attendance#record
3#november 1#charlotte#l 87 - 100 (ot)#michael beasley (25)#shawn marion (8)#mario chalmers (8)#time warner cable arena 19238#1 - 2
4#november 5#philadelphia#w 106 - 83 (ot)#dwyane wade (29)#michael beasley (9)#dwyane wade , mario chalmers (6)#american airlines arena 15103#2 - 2
5#november 7#san antonio#w 99 - 83 (ot)#dwyane wade (33)#dwyane wade , udonis haslem (10)#dwyane wade (9)#at&t center 17387#3 - 2
6#november 8#new orleans#l 89 - 100 (ot)#dwyane wade (30)#shawn marion (8)#dwyane wade (10)#new orleans arena 17701#3 - 3
7#november 10#new jersey#w 99 - 94 (ot)#dwyane wade (33)#udonis haslem (8)#dwyane wade (5)#american airlines arena 15028#4 - 3
8#november 12#portland#l 96 - 104 (ot)#dwyane wade (36)#udonis haslem (11)#dwyane wade (8)#american airlines arena 15021#4 - 4
9#november 14#washington#w 97 - 77 (ot)#dwyane wade (24)#udonis haslem (13)#mario chalmers (7)#american airlines arena 15284#5 - 4
10#november 16#toronto#l 96 - 107 (ot)#dwyane wade (29)#udonis haslem (10)#dwyane wade (8)#air canada centre 19800#5 - 5
11#november 18#washington#w 94 - 87 (ot)#dwyane wade (19)#udonis haslem (11)#dwyane wade (10)#verizon center 15102#6 - 5
12#november 19#toronto#l 95 - 101 (ot)#dwyane wade (40)#shawn marion (14)#dwyane wade (11)#american airlines arena 15014#6 - 6
13#november 22#indiana#w 109 - 100 (ot)#dwyane wade (38)#shawn marion (9)#dwyane wade (8)#american airlines arena 18685#7 - 6
14#november 24#houston#l 98 - 107 (ot)#dwyane wade , mario chalmers (23)#joel anthony (8)#mario chalmers (6)#american airlines arena 18704#7 - 7
15#november 26#portland#l 68 - 106 (ot)#michael beasley (14)#dwyane wade , udonis haslem (6)#dwyane wade (6)#rose garden 20528#7 - 8
16#november 28#phoenix#w 107 - 92 (ot)#dwyane wade (43)#udonis haslem (11)#dwyane wade , shawn marion (6)#us airways center 18422#8 - 8
17#november 29#la clippers#l 96 - 97 (ot)#dwyane wade (26)#shawn marion (9)#dwyane wade (11)#staples center 16245#8 - 9
