production no#episode no#original airdate#episode title#host
pilot / 1#101#march 2 , 2007#istanbul#eric geller
2#102#april 23 , 2007#scotland 's sin city#eric geller
3#103#april 30 , 2007#hitler 's underground lair#eric geller
4#104#may 7 , 2007#rome 's hidden empire#eric geller
5#105#may 14 , 2007#catacombs of death#eric geller
6#106#may 21 , 2007#city of caves#eric geller
7#107#june 4 , 2007#new york#eric geller
8#108#june 11 , 2007#london 's lost cities#eric geller
9#109#june 18 , 2007#beneath vesuvius#don wildman
10#110#june 25 , 2007#freemason underground#don wildman
11#111#july 9 , 2007#dracula 's underground#don wildman
12#112#july 16 , 2007#secret pagan underground#don wildman
13#113#july 23 , 2007#underground bootleggers#don wildman
14#114#july 30 , 2007#rome : the rise#eric geller
