result#record#method#event#round#location
loss#9 - 10#tko (referee stoppage)#k - 1 world grand prix 2008 in hawaii#1#honolulu , hawaii , usa
win#9 - 9#ko (right punch)#k - 1 premium 2007 dynamite!!#2#osaka , japan
loss#8 - 9#ko (right high kick)#k - 1 world grand prix 2007 in hong kong#2#hong kong
loss#8 - 8#tko (arm injury)#k - 1 premium 2006 dynamite!!#2#osaka , japan
win#8 - 7#tko (corner stoppage)#heat 2#2#aichi , japan
win#7 - 7#ko (punches)#xplosion superfight 14#3#sydney , australia
win#6 - 7#tko (corner stoppage)#bushido europe : rotterdam rumble#2#rotterdam , netherlands
loss#5 - 7#tko (doctor stoppage)#k - 1 survival 2002#2#toyama , japan
loss#5 - 6#ko (knee)#k - 1 burning 2002#1#hiroshima , japan
loss#5 - 5#ko (right knee)#k - 1 world grand prix 2001 final#2#tokyo , japan
win#5 - 4#extra round decision (unanimous)#k - 1 andy memorial 2001 japan gp final#4#saitama , japan
win#4 - 4#ko (right low kick)#k - 1 andy memorial 2001 japan gp final#1#saitama , japan
win#3 - 4#ko (right low kick)#k - 1 andy memorial 2001 japan gp final#1#saitama , japan
win#2 - 4#ko (right low kick)#k - 1 gladiators 2001#3#yokohama , japan
loss#1 - 4#decision (unanimous)#k - 1 world grand prix 2000 in fukuoka#3#nagoya , japan
loss#1 - 3#ko (left hook)#k - 1 world grand prix 2000 in nagoya#1#nagoya , japan
win#1 - 2#ko (right low kick)#k - 1 world grand prix 2000 in nagoya#1#nagoya , japan
loss#0 - 1#ko (punch)#k - 1 dream '98#2#nagoya , japan
