place#player#country#score#to par
1#bob rosburg#united states#68#2
2#peter thomson#australia#70#e
t3#errie ball#wales#71#+ 1
t3#julius boros#united states#71#+ 1
t3#wes ellis#united states#71#+ 1
t3#doug ford#united states#71#+ 1
t3#ed furgol#united states#71#+ 1
t3#jay hebert#united states#71#+ 1
t3#cary middlecoff#united states#71#+ 1
t10#jerry barber#united states#72#+ 2
t10#al brosch#united states#72#+ 2
t10#dave douglas#united states#72#+ 2
t10#fred haas#united states#72#+ 2
t10#e j harrison#united states#72#+ 2
t10#ben hogan#united states#72#+ 2
t10#bill hyndman (a)#united states#72#+ 2
t10#ted kroll#united states#72#+ 2
t10#billy maxwell#united states#72#+ 2
t10#arnold palmer#united states#72#+ 2
t10#frank taylor , jr (a)#united states#72#+ 2
