year#date#driver#team#manufacturer#laps#-#race time#average speed (mph)#report
1997#june 22#jeff gordon#hendrick motorsports#chevrolet#250#500 (804.672)#3:13:32#155.012#report
1998#may 3#mark martin#roush racing#ford#250#500 (804.672)#3:33:57#140.22#report
1999#may 2#jeff gordon#hendrick motorsports#chevrolet#250#500 (804.672)#3:19:38#150.276#report
2000#april 30#jeremy mayfield#penske racing#ford#250#500 (804.672)#3:20:50#149.378#report
2001#april 29#rusty wallace#penske racing#ford#250#500 (804.672)#3:29:37#143.118#report
2002#april 28#jimmie johnson#hendrick motorsports#chevrolet#250#500 (804.672)#3:19:53#150.088#report
2003#april 27#kurt busch#roush racing#ford#250#500 (804.672)#3:34:07#140.111#report
2004#may 2#jeff gordon#hendrick motorsports#chevrolet#250#500 (804.672)#3:38:33#137.268#report
2005#february 27#greg biffle#roush racing#ford#250#500 (804.672)#3:34:45#139.697#report
2006#february 26#matt kenseth#roush racing#ford#251#502 (807.89)#3:23:43#147.852#report
2007#february 25#matt kenseth#roush fenway racing#ford#250#500 (804.672)#3:36:41#138.451#report
2008#feb 24 / 25#carl edwards#roush fenway racing#ford#250#500 (804.672)#3:46:04#132.704#report
2009#february 22#matt kenseth#roush fenway racing#ford#250#500 (804.672)#3:40:51#135.839#report
2010#february 21#jimmie johnson#hendrick motorsports#chevrolet#250#500 (804.672)#3:31:24#141.911#report
2011#march 27#kevin harvick#richard childress racing#chevrolet#200#400 (643.737)#2:39:06#150.849#report
2012#march 25#tony stewart#stewart - haas racing#chevrolet#129#258 (415.21)#1:36:39#160.166#report
