name#championship#league cup#fa cup#total
aron gunnarsson#9#1#2#12
daniel fox#8#1#0#9
guillaume beuzelin#7#0#2#9
scott dann#8#0#0#8
clinton morrison#8#0#0#8
stephen wright#6#1#0#7
isaac osbourne#6#0#0#6
jay tabb#4#0#0#4
freddy eastwood#3#0#1#4
keiren westwood#3#0#1#4
michael doyle#4#0#0#4
elliott ward#3#0#1#4
leon mckenzie#3#0#0#3
robbie simpson#3#0#0#3
leon best#2#0#0#2
jordan henderson#2#0#0#2
marcus hall#1#1#0#2
ben turner#2#0#0#2
michael mifsud#1#0#0#1
james mcpake#1#0#0#1
