pinnacle height#year#structure type#main use#country#town
-#1969#guyed mast#vhf - uhf transmission#us#hemingford , nebraska
-#1992#guyed mast#vhf - uhf transmission#us#liverpool , texas
-#2001#guyed mast#vhf - uhf transmission#us#dillon , south carolina
-#1990#guyed mast#vhf - uhf transmission#us#bertram , texas
-#2002#guyed mast#vhf - uhf transmission#us#collinsville , texas
- (orig 609.6 m)#1971#guyed mast#vhf - uhf transmission#us#fordland , missouri
-#1981#guyed mast#vhf - uhf transmission#us#winnabow , north carolina
-#2001#guyed mast#vhf - uhf transmission#us#robertsdale , alabama
-#1985#guyed mast#vhf - uhf transmission#us#dallas , north carolina
-#1977#guyed mast#vhf - uhf transmission#us#grady , alabama
-#1986#guyed mast#vhf - uhf transmission#us#columbia , louisiana
-#1988#guyed mast#vhf - uhf transmission#us#splendora , texas
-#1974#guyed mast#vhf - uhf transmission#us#walker city , iowa
-#1981#guyed mast#vhf - uhf transmission#us#eddy , texas
-#1998#guyed mast#vhf - uhf transmission#us#greenwood , texas
-#1999#guyed mast#vhf - uhf transmission#us#rio grande city , texas
-#2004#guyed mast#vhf - uhf transmission#us#randleman , north carolina
-#1988#guyed mast#vhf - uhf transmission#us#coweta , oklahoma
-#2004#guyed mast#vhf - uhf transmission#us#robertsdale , alabama
-#1998#offshore platform#oil drilling#us#garden banks , gulf of mexico
-#1978#guyed mast#vhf - uhf transmission#us#bethlehem , florida
-#1985#guyed mast#vhf - uhf transmission#us#redfield , arkansas
-#2002#guyed mast#vhf - uhf transmission#us#greensboro , north carolina
-#2000#guyed mast#vhf - uhf transmission#us#shepherd , texas
-#1986#guyed mast#vhf - uhf transmission#us#spanish fort , alabama
-#2000#guyed mast#vhf - uhf transmission#us#saint cloud , florida
-#1980#guyed mast#vhf - uhf transmission#us#gray court , south carolina
-#1965#guyed mast#vhf - uhf transmission#us#genoa , nebraska
-#1993#guyed mast#vhf - uhf transmission#us#princeton , florida
-#1985#guyed mast#vhf - uhf transmission#us#gretna , nebraska
-#1965#guyed mast#vhf - uhf transmission#us#roswell , new mexico
-#1984#guyed mast#vhf - uhf transmission#us#oneta , oklahoma
-#2003#guyed mast#vhf - uhf transmission#us#shreveport , louisiana
-#1976#concrete tower#observation , vhf - uhf transmission#canada#toronto , ontario
