player#rec#yards#avg#long
darrius heyward - bey#42#609#14.5#80
danny oquendo#29#371#12.8#50
torrey smith#24#336#14.0#44
dan gronkowski#29#287#9.9#25
ronnie tyler#20#225#11.3#20
da 'rel scott#21#171#8.1#25
isaiah williams#10#124#12.4#43
emani lee - odai#12#115#9.6#23
lansford watson#10#115#11.5#32
cory jackson#12#106#8.8#29
davin meggett#9#79#8.8#31
adrian cannon#3#75#25.0#59
haroon brown#1#20#20.0#20
laquan williams#2#19#9.5#11
tommy galt#1#18#18.0#18
taylor watson#1#11#11.0#11
morgan green#1#6#6.0#6
