series#presenters#start date#end date#days in camp#camp mates#winner#highest viewers (millions)#lowest viewers (millions)#average viewers (millions)
one#ant & dec#25 august 2002#8 september 2002#15#8#tony blackburn#10.95#6.14#7.58
two#ant & dec#28 april 2003#12 may 2003#15#10#phil tufnell#12.75#5.15#8.55
three#ant & dec#26 january 2004#9 february 2004#16#10#kerry katona#14.99#8.96#11.02
four#ant & dec#21 november 2004#6 december 2004#18#11#joe pasquale#11.43#7.04#8.66
five#ant & dec#20 november 2005#5 december 2005#18#12#carol thatcher#12.35#7.69#9.42
six#ant & dec#13 november 2006#1 december 2006#19#12#matt willis#10.05#6.97#8.01
seven#ant & dec#12 november 2007#30 november 2007#20#11#christopher biggins#8.84#5.00#7.34
eight#ant & dec#16 november 2008#5 december 2008#21#12#joe swash#10.19#7.91#8.78
nine#ant & dec#15 november 2009#4 december 2009#21#13#gino d'acampo#10.86#7.86#9.37
ten#ant & dec#14 november 2010#4 december 2010#21#13#stacey solomon#13.48#6.68#9.70
eleven#ant & dec#13 november 2011#3 december 2011#21#13#dougie poynter#11.80#6.80#9.74
twelve#ant & dec#11 november 2012#1 december 2012#21#12#charlie brooks#11.51#7.81#9.81
