round#pick#player#position#college
1#5#elroy crazylegs hirsch#end#michigan
2#16#milan lazetich#tackle#michigan
3#21#wg (dub) wooten#end#oklahoma
4#32#jack zilly#end#notre dame
5#37#roger harding#center#california
6#48#jerry cowhig#back#notre dame
7#59#fred negus#center#wisconsin
8#70#johnny august#back#alabama
9#81#dick huffman#tackle#tennessee
10#92#vern walters#back#alma
11#103#tom fears#end#ucla
12#114#joe winkler#center#purdue
13#125#jack aland#tackle#alabama
14#136#chuck uknes#back#iowa
15#147#bill lund#back#case western reserve
16#158#bob barton#end#holy cross
17#169#dick hoerner#back#iowa
18#180#lee kennon#tackle#oklahoma
19#191#eagle matulich#back#mississippi state
20#202#bill griffin#tackle#kentucky
21#213#leroy erickson#back#oregon
22#224#ray evans#tackle#texas - el paso
23#235#luke higgins#tackle#notre dame
24#246#stan nowak#end#south carolina
25#257#gene konopka#guard#villanova
26#268#ray florek#back#illinois
27#279#russ perry#back#wake forest
28#290#pat west#back#usc
29#301#bill davis#back#oregon
30#312#charley compton#tackle#alabama
