name#position#league apps#league goals#fa cup apps#fa cup goals#league cup apps#league cup goals#total apps#total goals
rod belfitt#fw#6#2#0#0#0#0#6#2
les chapman#mf#15#1#1#0#4#0#20#1
terry dolan#mf#46#4#1#0#4#0#51#4
john dungworth#fw#4#0#0#0#0#0#4#0
roy ellam#df#18#2#1#0#2#0#21#2
barry endean#mf#6 (2)#1#0#0#0#0#6 (2)#1
mick fairclough#fw#3 (1)#0#0#0#0#0#3 (1)#0
franny firth#fw#1#0#0#0#0#0#1#0
martin fowler#mf#14 (2)#1#0#0#0#0#14 (2)#1
paul garner#df#35#2#0#0#4#0#39#2
colin garwood#fw#10 (6)#2#0#0#0#0#10 (6)#2
alan gowling#fw#41#17#1#0#4#2#46#19
terry gray#fw#24 (8)#3#1#0#0 (2)#0#25 (10)#3
peter hart#mf#13#0#0#0#0#0#13#0
bobby hoy#mf#23 (1)#3#1#0#4#0#28 (1)#3
geoff hutt#df#28#0#1#0#3#0#32#0
jimmy lawson#mf#17 (3)#3#0#0#0#0#17 (3)#3
ally macleod#fw#3 (1)#1#0#0#0#0#3 (1)#1
lloyd maitland#mf#12#1#0#0#0#0#12#1
brian marshall#df#3#0#0#0#0#0#3#0
grahame mcgifford#df#22#0#1#0#1#0#24#0
billy mcginley#fw#11 (4)#1#0#0#2 (1)#1#13 (5)#2
bob newton#fw#2 (1)#0#0#0#0#0#2 (1)#0
brian o'neil#mf#22 (1)#2#0#0#0#0#22 (1)#2
terry poole#gk#24#0#0#0#4#0#28#0
graham pugh#mf#15#0#1#0#3#0#19#0
john saunders#df#41#0#1#0#4#1#46#1
steve smith#mf#16#0#0#0#2#0#18#0
steve spriggs#mf#2 (2)#0#0#0#1#0#3 (2)#0
phil summerill#fw#6 (2)#1#0#0#2#1#8 (2)#2
alan sweeney#df#1#0#0#0#0#0#1#0
dick taylor#gk#21#0#1#0#0#0#22#0
john turner#gk#1#0#0#0#0#0#1#0
