place#player#country#score#to par#money
1#jack nicklaus#united states#70 + 69 + 66 + 69 = 274#6#60000
2#andy bean#united states#72 + 71 + 68 + 70 = 281#+ 1#40000
t3#lon hinkle#united states#70 + 69 + 69 + 75 = 283#+ 3#22500
t3#gil morgan#united states#68 + 70 + 73 + 72 = 283#+ 3#22500
t5#curtis strange#united states#68 + 72 + 72 + 72 = 284#+ 4#14500
t5#howard twitty#united states#68 + 74 + 71 + 71 = 284#+ 4#14500
7#lee trevino#united states#74 + 71 + 71 + 69 = 285#+ 5#11000
t8#bill rogers#united states#71 + 71 + 72 + 72 = 286#+ 6#8500
t8#bobby walzel#united states#68 + 76 + 71 + 71 = 286#+ 6#8500
t10#terry diehl#united states#72 + 72 + 68 + 76 = 288#+ 8#6000
t10#peter jacobsen#united states#71 + 73 + 74 + 70 = 288#+ 8#6000
t10#jerry pate#united states#72 + 73 + 70 + 73 = 288#+ 8#6000
t10#tom watson#united states#75 + 74 + 72 + 67 = 288#+ 8#6000
t10#tom weiskopf#united states#71 + 73 + 72 + 72 = 288#+ 8#6000
