date#ship#nationality#tonnage#fate
26 may 1940#stanhall#uk#4831#sunk
31 may 1940#orangemoor#uk#5775#sunk
2 june 1940#polycarp#uk#3577#sunk
11 june 1940#mount hymettus#greece#5820#sunk
12 june 1940#earlspark#uk#5250#sunk
14 june 1940#antonis georgandis#greece#3557#sunk
16 june 1940#wellington star#uk#13212#sunk
19 august 1940#ampleforth#uk#4576#sunk
28 august 1940#elle#finland#3868#sunk
1 september 1940#efploia#greece#3867#sunk
12 october 1940#saint - malo#canada#5799#sunk
18 october 1940#blairspey#uk#4155#damaged
18 october 1940#creekirk#uk#3917#sunk
19 october 1940#assyrian#uk#2962#sunk
19 october 1940#soesterberg#netherlands#1904#sunk
30 november 1940#aracataca#uk#5378#sunk
1 december 1940#appalachee#uk#8826#sunk
1 december 1940#loch ranza#uk#4958#damaged
2 december 1940#kavak#uk#2782#sunk
2 december 1940#lady glanely#uk#5497#sunk
14 february 1941#holystone#uk#5462#sunk
17 february 1941#gairsoppa#uk#5237#sunk
4 june 1941#trecarrell#uk#5271#sunk
9 june 1941#trevarrack#uk#1190#sunk
18 october 1941#hmsbroadwater#uk#1190#sunk
