rank#celebrity#professional partner#season#average
1#maciej jachowski#janja lesar#12#32.0
2#stachursky#dominika kublik - marzec#6#29.0
3#przemysław miarczyński#magdalena soszyńska - michno#11#28.5
4#piotr adamski#blanka winiarska#2#28.0
5#paweł stasiak#janja lesar#8#27.0
5#marek kościkiewicz#agnieszka pomorska#10#27.0
6#wojciech majchrzak#magdalena soszyńska - michno#5#25.5
7#michał milowicz#izabela mika#4#25.0
7#michał lesień#katarzyna krupa#7#25.0
8#robert kudelski#agnieszka pomorska#1#24.0
9#paolo cozza#kamila drezno#3#18.5
10#zbigniew urbański#izabela janachowska#13#13.0
