rank#player#county#tally#total#opposition
1#barney moylan#limerick#4 - 4#16#kildare
2#mick bermingham#dublin#3 - 4#13#laois
2#eddie keher#kilkenny#2 - 7#13#galway
2#pat white#kildare#1 - 10#13#offaly
5#eddie keher#kilkenny#1 - 8#11#dublin
5#seã¡nie kinsella#wexford#1 - 8#11#offaly
5#eddie keher#kilkenny#1 - 8#11#wexford
8#ned buggy#wexford#1 - 7#10#kilkenny
9#michael 'babs' keating#tipperary#2 - 3#9#limerick
9#richie bennis#limerick#1 - 6#9#tipperary
9#barney moylan#offaly#0 - 9#9#kildare
9#barney moylan#offaly#0 - 9#9#wexford
9#richie bennis#limerick#0 - 9#9#tipperary
