date#opponent#result#score#record#streak
wed , mar 1 , 1972#milwaukee bucks#win#109 - 108#58 - 11#won 4
fri , mar 3 , 1972#atlanta hawks#win#114 - 104#59 - 11#won 5
sun , mar 5 , 1972#baltimore bullets#loss#94 - 108#59 - 12#lost 1
tue , mar 7 , 1972#philadelphia 76ers#win#114 - 97#60 - 12#won 1
fri , mar 10 , 1972#cleveland cavaliers#win#132 - 98#61 - 12#won 2
sun , mar 12 , 1972#buffalo braves#win#141 - 102#62 - 12#won 3
tue , mar 14 , 1972#detroit pistons#win#129 - 116#63 - 12#won 4
wed , mar 15 , 1972#cincinnati royals#win#121 - 116#64 - 12#won 5
fri , mar 17 , 1972#milwaukee bucks#win#123 - 107#65 - 12#won 6
sun , mar 19 , 1972#golden state warriors#win#162 - 99#66 - 12#won 7
tue , mar 21 , 1972#chicago bulls#win#109 - 104#67 - 12#won 8
wed , mar 22 , 1972#cleveland cavaliers#loss#120 - 124#67 - 13#lost 1
fri , mar 24 , 1972#phoenix suns#win#112 - 110#68 - 13#won 1
sun , mar 26 , 1972#seattle supersonics#win#124 - 98#69 - 13#won 2
