name#nation#points#games#pts / game
karen andrew#england#44#5#8.8
daniella waterman#england#40#5#8
christelle le duff#france#33#5#6.6
charlotte barras#england#30#5#6
naomi thomas#wales#25#5#5
susan day#england#20#5#4
lucy millard#scotland#20#5#4
veronica schiavon#italy#19#4#4.75
estelle sartini#france#17#5#3.4
margaret alphonsie#england#15#5#3
fanny horta#france#15#5#3
jeannette feighery#ireland#15#5#3
non evans#wales#14#3#4.67
lynsey harley#scotland#12#2#6
delphine plantet#france#10#5#2
joanne o 'sullivan#ireland#10#5#2
katy mclean#england#9#3#3
michela tondinelli#italy#6#5#1.2
georgia stevens#england#5#5#1
mel berry#wales#5#5#1
