date#opponent#score#leading scorer#attendance#record
may 17#sacramento#64 - 73#sophia young (22)#16225#0 - 1
may 20#phoenix#81 - 76#sophia young (25)#9103#1 - 1
may 24#seattle#87 - 72#sophia young (23)#9767#2 - 1
may 30#seattle#57 - 78#sophia young (14) ann wauters (14)#6810#2 - 2
june 3#houston#72 - 75#becky hammon (20)#7059#2 - 3
june 6#washington#63 - 52#becky hammon (20)#5800#3 - 3
june 8#minnesota#78 - 90#ann wauters (24)#5020#3 - 4
june 11#indiana#64 - 53#sophia young (17)#6262#4 - 4
june 13#seattle#74 - 69#becky hammon (17)#6478#5 - 4
june 15#indiana#70 - 60#ann wauters (19)#7412#6 - 4
june 18#atlanta#81 - 66#becky hammon (25)#6225#7 - 4
june 20#los angeles#77 - 75#ann wauters (21)#10221#8 - 4
june 24#houston#81 - 82 (ot)#becky hammon (25)#7226#8 - 5
june 26#houston#71 - 77#sophia young (19)#5983#8 - 6
june 28#minnesota#73 - 65#sophia young (20)#7513#9 - 6
july 1#detroit#79 - 72 (ot)#sophia young (27)#5656#10 - 6
july 3#sacramento#68 - 67#sophia young (20)#6568#11 - 6
july 6#washington#83 - 75#becky hammon (28)#10439#12 - 6
july 8#new york#83 - 79#becky hammon (27)#6107#13 - 6
july 10#chicago#75 - 67#ann wauters (23)#3040#14 - 6
july 11#atlanta#82 - 74#becky hammon (26)#10943#15 - 6
july 14#los angeles#62 - 75#becky hammon (21)#11976#15 - 7
july 15#phoenix#97 - 87#sophia young (26)#6451#16 - 7
july 19#minnesota#74 - 87#becky hammon (24)#8614#16 - 8
july 24#chicago#78 - 67#sophia young (20)#9372#17 - 8
july 25#minnesota#68 - 78#sophia young (21)#7247#17 - 9
july 27#detroit#76 - 64#becky hammon (23)#9537#18 - 9
august 28#phoenix#77 - 55#sophia young (18)#7931#19 - 9
august 30#los angeles#53 - 58#becky hammon (17)#9923#19 - 10
september 5#los angeles#76 - 58#edwige lawson - wade (14)#9531#20 - 10
september 7#connecticut#85 - 73#becky hammon (24)#7956#21 - 10
september 9#new york#82 - 76#becky hammon (30)#7994#22 - 10
september 11#connecticut#78 - 74#sophia young (24)#6791#23 - 10
september 13#sacramento#77 - 69#ann wauters (18)#9770#24 - 10
