rank#nation#gold#silver#bronze#total
1#united states (usa)#13#11#2#26
2#russia (rus)#4#2#2#8
3#hungary (hun)#3#1#2#6
4#ireland (irl)#3#0#1#4
5#australia (aus)#2#4#6#12
6#south africa (rsa)#2#0#1#3
7#new zealand (nzl)#2#0#0#2
8#china (chn)#1#3#2#6
9#belgium (bel)#1#0#0#1
9#costa rica (crc)#1#0#0#1
11#germany (ger)#0#5#7#12
12#brazil (bra)#0#1#2#3
12#canada (can)#0#1#2#3
14#great britain (gbr)#0#1#1#2
14#cuba (cub)#0#1#1#2
16#finland (fin)#0#1#0#1
16#sweden (swe)#0#1#0#1
18#netherlands (ned)#0#0#2#2
19#italy (ita)#0#0#1#1
