call sign#frequency mhz#city of license#erp w#height m ( ft )#class#fcc info
ktlc#89.1#canon city , colorado#1150#-#c3#fcc
ktcf#89.5#dolores , colorado#500#-#a#fcc
ktdu#88.5#durango , colorado#4000#-#a#fcc
ktmh#89.9#montrose , colorado#4000#-#c1#fcc
ktps#89.7#pagosa springs , colorado#200#-#a#fcc
ktsg#91.7#steamboat springs , colorado#2500#-#c3#fcc
ktol#90.9#leadville , colorado#450#-#a#fcc
ktpf#91.3#salida , colorado#390#-#c2#fcc
ktei#90.7#placerville , colorado#250#-#a#fcc
ktdl#90.7#trinidad , colorado#450#-#a#fcc
ktad#89.9#sterling , colorado#5000#-#c3#fcc
ktml#91.5#south fork , colorado#280#-#c3#fcc
ktaw#89.3#walsenburg , colorado#500#-#a#fcc
ktdx#89.3#laramie , wyoming#450#-#a#fcc
