year#entrant#chassis#engine#points
1955#cooper car company#cooper t40#bristol straight - 6#0
1956#jack brabham#maserati 250f#maserati straight - 6#0
1957#cooper car company#cooper t43#climax straight - 4#0
1957#rob walker racing team#cooper t43#climax straight - 4#0
1958#cooper car company#cooper t45#climax straight - 4#3
1959#cooper car company#cooper t51#climax straight - 4#31 (34)
1960#cooper car company#cooper t51#climax straight - 4#43
1960#cooper car company#cooper t53#climax straight - 4#43
1961#cooper car company#cooper t55#climax straight - 4#4
1961#cooper car company#cooper t58#climax v8#4
1962#brabham racing organisation#lotus 24#climax v8#9
1962#brabham racing organisation#brabham bt3#climax v8#9
1963#brabham racing organisation#lotus 25#climax v8#14
1963#brabham racing organisation#brabham bt3#climax v8#14
1963#brabham racing organisation#brabham bt7#climax v8#14
1964#brabham racing organisation#brabham bt7#climax v8#11
1964#brabham racing organisation#brabham bt11#climax v8#11
1965#brabham racing organisation#brabham bt11#climax v8#9
1966#brabham racing organisation#brabham bt19#repco v8#42 (45)
1966#brabham racing organisation#brabham bt20#repco v8#42 (45)
1967#brabham racing organisation#brabham bt20#repco v8#46 (48)
1967#brabham racing organisation#brabham bt19#repco v8#46 (48)
1967#brabham racing organisation#brabham bt24#repco v8#46 (48)
1968#brabham racing organisation#brabham bt24#repco v8#2
1968#brabham racing organisation#brabham bt26#repco v8#2
1969#brabham racing organisation#brabham bt26a#cosworth v8#14
1970#brabham racing organisation#brabham bt33#cosworth v8#25
