state#type#name#title#royal house#from
cai#sovereign#yi#marquis#ji#837 bc
cao#sovereign#dai#count#-#826 bc
chen#sovereign#li#duke#-#831 bc
chu#sovereign#xiong xun#viscount#mi#821 bc
jin#sovereign#xian#marquis#ji#822 bc
jin#sovereign#mu#marquis#ji#811 bc
lu#sovereign#wu#duke#ji#825 bc
lu#sovereign#yi#duke#ji#815 bc
qi#sovereign#li#duke#jiang#824 bc
qi#sovereign#wen#duke#jiang#815 bc
qin#sovereign#zhuang#duke#ying#822 bc
song#sovereign#hui#duke#-#830 bc
wey#sovereign#li#marquis#-#855 bc
wey#sovereign#wu#duke#-#812 bc
yan#sovereign#li#marquis#-#826 bc
