game#date#opponent#score#location attendance#record
44#february 2#denver nuggets#l 104 - 115#mcnichols sports arena 13122#30 - 14
game#date#opponent#score#location attendance#record
45#february 4#golden state warriors#w 107 - 85#san jose arena 13111#31 - 14
46#february 5#phoenix suns#l 81 - 99#america west arena 19023#31 - 15
47#february 12#toronto raptors#w 106 - 84#omni coliseum 13846#32 - 15
48#february 14#chicago bulls#l 88 - 89#omni coliseum 16378#32 - 16
49#february 15#san antonio spurs#w 109 - 89#alamodome 26809#33 - 16
50#february 17#houston rockets#l 98 - 127#the summit 16285#33 - 17
51#february 19#indiana pacers#w 100 - 87#omni coliseum 16378#34 - 17
52#february 21#houston rockets#w 76 - 74#omni coliseum 16378#35 - 17
53#february 22#charlotte hornets#l 92 - 93#omni coliseum 16378#35 - 18
54#february 24#golden state warriors#w 106 - 100#omni coliseum 15660#36 - 18
55#february 26#milwaukee bucks#w 79 - 72#bradley center 13285#37 - 18
56#february 28#los angeles lakers#w 86 - 75#omni coliseum 16378#38 - 18
