date#origin time#epicentre (lat , s)#epicentre (long , e)#local magnitude#location
8 february 1920#05:24#35.00#111.00#6.2#260 km south west of cape leeuwin
18 december 1940#21:45#32.20#117.20#4.2#beverley , brookton
19 april 1946#21:13#38.5#114.5#5.7#west of yallingup
17 september 1946#15:12#32.5#116.9#4.5#pingelly
2 may 1949#10:00#30.90#116.40#5.1#yerecoin
7 may 1949#17:09#30.90#116.40#4.1#yerecoin
11 march 1952#06:09#31.30#116.50#5.1#bolgart
27 november 1954#08:36#32.00#116.7#3.9#talbot brook
29 april 1955#09:14#30.90#116.40#4.7#yerecoin
29 april 1955#19:49#30.90#116.40#4.4#yerecoin
29 august 1955#06:09#30.70#116.40#5.3#gabalong
30 august 1955#13:52#30.70#116.40#5.8#gabalong
30 august 1955#14:07#30.70#116.40#4.7#gabalong
30 august 1955#16:46#30.70#116.40#4.6#gabalong
24 february 1956#06:27#30.9#116.4#4.5#yerecoin
5 april 1956#23:13#30.9#116.4#4.5#yerecoin
20 march 1958#03:03#32.20#117.20#4.8#beverley , brookton
3 october 1959#12:07:22.0#34.50#114.50#4.2#55 km sw cape leeuwin
